LayerName,LayerType,Theoretical Flops,flop_count_sp,flops_sp_add,flops_sp_fma,flops_sp_mul,flops_sp_special,achieved_occupancy,dram_read_bytes,dram_write_bytes
_minusscalar0,ElementWise,37632,150528,0,75264,0,0,0,0,0
_mulscalar0,ElementWise,75264,150528,0,37632,75264,0,0,0,0
conv0,Conv,43352064,52183040,0,25690112,802816,0,0,0,0
bn0,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
relu0,Relu,1605632,1605632,0,802816,0,0,0,0,0
stage1_unit1_bn1,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
stage1_unit1_conv1,Conv,924844032,925646848,0,462422016,802816,0,0,0,0
stage1_unit1_bn2,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
stage1_unit1_relu1,Relu,1605632,1605632,0,802816,0,0,0,0,0
stage1_unit1_conv2,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
stage1_unit1_bn3,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
stage1_unit1_conv1sc,Conv,25690112,25890816,0,12845056,200704,0,0,0,0
stage1_unit1_sc,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
_plus0,ElementWise,200704,802816,0,401408,0,0,0,0,0
stage1_unit2_bn1,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
stage1_unit2_conv1,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
stage1_unit2_bn2,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
stage1_unit2_relu1,Relu,401408,401408,0,200704,0,0,0,0,0
stage1_unit2_conv2,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
stage1_unit2_bn3,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
_plus1,ElementWise,200704,802816,0,401408,0,0,0,0,0
stage1_unit3_bn1,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
stage1_unit3_conv1,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
stage1_unit3_bn2,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
stage1_unit3_relu1,Relu,401408,401408,0,200704,0,0,0,0,0
stage1_unit3_conv2,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
stage1_unit3_bn3,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
_plus2,ElementWise,200704,802816,0,401408,0,0,0,0,0
stage2_unit1_bn1,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
stage2_unit1_conv1,Conv,462422016,462823424,0,231211008,401408,0,0,0,0
stage2_unit1_bn2,BatchNorm,802816,2473984,466944,802816,401408,65536,0,0,0
stage2_unit1_relu1,Relu,802816,802816,0,401408,0,0,0,0,0
stage2_unit1_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit1_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit1_conv1sc,Conv,12845056,13207552,0,6553600,100352,0,0,0,0
stage2_unit1_sc,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus3,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit2_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit2_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit2_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit2_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit2_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit2_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus4,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit3_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit3_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit3_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit3_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit3_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit3_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus5,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit4_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit4_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit4_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit4_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit4_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit4_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus6,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit5_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit5_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit5_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit5_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit5_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit5_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus7,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit6_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit6_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit6_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit6_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit6_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit6_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus8,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit7_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit7_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit7_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit7_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit7_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit7_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus9,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit8_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit8_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit8_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit8_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit8_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit8_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus10,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit9_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit9_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit9_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit9_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit9_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit9_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus11,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit10_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit10_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit10_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit10_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit10_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit10_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus12,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit11_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit11_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit11_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit11_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit11_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit11_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus13,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit12_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit12_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit12_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit12_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit12_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit12_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus14,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage2_unit13_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit13_conv1,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit13_bn2,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage2_unit13_relu1,Relu,200704,200704,0,100352,0,0,0,0,0
stage2_unit13_conv2,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
stage2_unit13_bn3,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
_plus15,ElementWise,100352,401408,0,200704,0,0,0,0,0
stage3_unit1_bn1,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
stage3_unit1_conv1,Conv,462422016,472059904,0,235929600,200704,0,0,0,0
stage3_unit1_bn2,BatchNorm,401408,1269760,266240,401408,200704,65536,0,0,0
stage3_unit1_relu1,Relu,401408,401408,0,200704,0,0,0,0,0
stage3_unit1_conv2,Conv,231211008,264291328,0,132120576,50176,0,0,0,0
stage3_unit1_bn3,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
stage3_unit1_conv1sc,Conv,12845056,14730240,0,7340032,50176,0,0,0,0
stage3_unit1_sc,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
_plus16,ElementWise,50176,200704,0,100352,0,0,0,0,0
stage3_unit2_bn1,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
stage3_unit2_conv1,Conv,231211008,264291328,0,132120576,50176,0,0,0,0
stage3_unit2_bn2,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
stage3_unit2_relu1,Relu,100352,100352,0,50176,0,0,0,0,0
stage3_unit2_conv2,Conv,231211008,264291328,0,132120576,50176,0,0,0,0
stage3_unit2_bn3,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
_plus17,ElementWise,50176,200704,0,100352,0,0,0,0,0
stage3_unit3_bn1,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
stage3_unit3_conv1,Conv,231211008,264291328,0,132120576,50176,0,0,0,0
stage3_unit3_bn2,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
stage3_unit3_relu1,Relu,100352,100352,0,50176,0,0,0,0,0
stage3_unit3_conv2,Conv,231211008,264291328,0,132120576,50176,0,0,0,0
stage3_unit3_bn3,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
