LayerName,LayerType,Theoretical Flops,flop_count_sp,flops_sp_add,flops_sp_fma,flops_sp_mul,flops_sp_special,achieved_occupancy,dram_read_bytes,dram_write_bytes
resnetv24_batchnorm0_fwd,BatchNorm,301056,904704,152064,301056,150528,1536,0,0,0
resnetv24_conv0_fwd,Conv,236027904,244858880,0,122028032,802816,0,0,0,0
resnetv24_batchnorm1_fwd,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
resnetv24_relu0_fwd,Relu,1605632,1605632,0,802816,0,0,0,0,0
resnetv24_pool0_fwd,Pooling,0,200704,0,0,200704,0,0,0,0
resnetv24_stage1_batchnorm0_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation0,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv0_fwd,Conv,25690112,25890816,0,12845056,200704,0,0,0,0
resnetv24_stage1_batchnorm1_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation1,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv1_fwd,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
resnetv24_stage1_batchnorm2_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation2,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv2_fwd,Conv,102760448,103563264,0,51380224,802816,0,0,0,0
resnetv24_stage1_conv3_fwd,Conv,102760448,103563264,0,51380224,802816,0,0,0,0
resnetv24_stage1__plus0,ElementWise,802816,3211264,0,1605632,0,0,0,0,0
resnetv24_stage1_batchnorm3_fwd,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
resnetv24_stage1_activation3,Relu,1605632,1605632,0,802816,0,0,0,0,0
resnetv24_stage1_conv4_fwd,Conv,102760448,102961152,0,51380224,200704,0,0,0,0
resnetv24_stage1_batchnorm4_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation4,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv5_fwd,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
resnetv24_stage1_batchnorm5_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation5,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv6_fwd,Conv,102760448,103563264,0,51380224,802816,0,0,0,0
resnetv24_stage1__plus1,ElementWise,802816,3211264,0,1605632,0,0,0,0,0
resnetv24_stage1_batchnorm6_fwd,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
resnetv24_stage1_activation6,Relu,1605632,1605632,0,802816,0,0,0,0,0
resnetv24_stage1_conv7_fwd,Conv,102760448,102961152,0,51380224,200704,0,0,0,0
resnetv24_stage1_batchnorm7_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation7,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv8_fwd,Conv,231211008,231411712,0,115605504,200704,0,0,0,0
resnetv24_stage1_batchnorm8_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
resnetv24_stage1_activation8,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage1_conv9_fwd,Conv,102760448,103563264,0,51380224,802816,0,0,0,0
resnetv24_stage1__plus2,ElementWise,802816,3211264,0,1605632,0,0,0,0,0
resnetv24_stage2_batchnorm0_fwd,BatchNorm,1605632,15253504,3211264,4816896,2408448,1605632,0,0,0
resnetv24_stage2_activation0,Relu,1605632,1605632,0,802816,0,0,0,0,0
resnetv24_stage2_conv0_fwd,Conv,205520896,205922304,0,102760448,401408,0,0,0,0
resnetv24_stage2_batchnorm1_fwd,BatchNorm,802816,2473984,466944,802816,401408,65536,0,0,0
resnetv24_stage2_activation1,Relu,802816,802816,0,401408,0,0,0,0,0
resnetv24_stage2_conv1_fwd,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
resnetv24_stage2_batchnorm2_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation2,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv2_fwd,Conv,102760448,105259008,0,52428800,401408,0,0,0,0
resnetv24_stage2_conv3_fwd,Conv,205520896,210116608,0,104857600,401408,0,0,0,0
resnetv24_stage2__plus0,ElementWise,401408,1605632,0,802816,0,0,0,0,0
resnetv24_stage2_batchnorm3_fwd,BatchNorm,802816,7626752,1605632,2408448,1204224,802816,0,0,0
resnetv24_stage2_activation3,Relu,802816,802816,0,401408,0,0,0,0,0
resnetv24_stage2_conv4_fwd,Conv,102760448,104957952,0,52428800,100352,0,0,0,0
resnetv24_stage2_batchnorm4_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation4,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv5_fwd,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
resnetv24_stage2_batchnorm5_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation5,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv6_fwd,Conv,102760448,105259008,0,52428800,401408,0,0,0,0
resnetv24_stage2__plus1,ElementWise,401408,1605632,0,802816,0,0,0,0,0
resnetv24_stage2_batchnorm6_fwd,BatchNorm,802816,7626752,1605632,2408448,1204224,802816,0,0,0
resnetv24_stage2_activation6,Relu,802816,802816,0,401408,0,0,0,0,0
resnetv24_stage2_conv7_fwd,Conv,102760448,104957952,0,52428800,100352,0,0,0,0
resnetv24_stage2_batchnorm7_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation7,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv8_fwd,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
resnetv24_stage2_batchnorm8_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation8,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv9_fwd,Conv,102760448,105259008,0,52428800,401408,0,0,0,0
resnetv24_stage2__plus2,ElementWise,401408,1605632,0,802816,0,0,0,0,0
resnetv24_stage2_batchnorm9_fwd,BatchNorm,802816,7626752,1605632,2408448,1204224,802816,0,0,0
resnetv24_stage2_activation9,Relu,802816,802816,0,401408,0,0,0,0,0
resnetv24_stage2_conv10_fwd,Conv,102760448,104957952,0,52428800,100352,0,0,0,0
resnetv24_stage2_batchnorm10_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation10,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv11_fwd,Conv,231211008,236029952,0,117964800,100352,0,0,0,0
resnetv24_stage2_batchnorm11_fwd,BatchNorm,200704,1906688,401408,602112,301056,200704,0,0,0
resnetv24_stage2_activation11,Relu,200704,200704,0,100352,0,0,0,0,0
resnetv24_stage2_conv12_fwd,Conv,102760448,105259008,0,52428800,401408,0,0,0,0
resnetv24_stage2__plus3,ElementWise,401408,1605632,0,802816,0,0,0,0,0
resnetv24_stage3_batchnorm0_fwd,BatchNorm,802816,7626752,1605632,2408448,1204224,802816,0,0,0
resnetv24_stage3_activation0,Relu,802816,802816,0,401408,0,0,0,0,0
resnetv24_stage3_conv0_fwd,Conv,205520896,209915904,0,104857600,200704,0,0,0,0
resnetv24_stage3_batchnorm1_fwd,BatchNorm,401408,1269760,266240,401408,200704,65536,0,0,0
resnetv24_stage3_activation1,Relu,401408,401408,0,200704,0,0,0,0,0
resnetv24_stage3_conv1_fwd,Conv,231211008,264291328,0,132120576,50176,0,0,0,0
resnetv24_stage3_batchnorm2_fwd,BatchNorm,100352,953344,200704,301056,150528,100352,0,0,0
resnetv24_stage3_activation2,Relu,100352,100352,0,50176,0,0,0,0,0
resnetv24_stage3_conv2_fwd,Conv,102760448,117641216,0,58720256,200704,0,0,0,0
resnetv24_stage3_conv3_fwd,Conv,205520896,235081728,0,117440512,200704,0,0,0,0
resnetv24_stage3__plus0,ElementWise,200704,802816,0,401408,0,0,0,0,0
resnetv24_stage3_batchnorm3_fwd,BatchNorm,401408,3813376,802816,1204224,602112,401408,0,0,0
