LayerName,LayerType,Theoretical Flops,flop_count_sp,flops_sp_add,flops_sp_fma,flops_sp_mul,flops_sp_special,achieved_occupancy,dram_read_bytes,dram_write_bytes
conv_1,Conv,236027904,244858880,0,122028032,802816,0,0,0,0
conv_1,Conv,236027904,3211264,0,1605632,0,0,0,0,0
relu_1,Relu,1605632,1605632,0,802816,0,0,0,0,0
maxpool_1,Pooling,0,200640,0,0,200640,0,0,0,0
conv_2,Conv,25690112,25890816,0,12845056,200704,0,0,0,0
conv_2,Conv,25690112,802816,0,401408,0,0,0,0,0
relu_2,Relu,401408,401408,0,200704,0,0,0,0,0
conv_3,Conv,693633024,694235136,0,346816512,602112,0,0,0,0
conv_3,Conv,693633024,2408448,0,1204224,0,0,0,0,0
relu_3,Relu,1204224,1204224,0,602112,0,0,0,0,0
maxpool_2,Pooling,0,150336,0,0,150336,0,0,0,0
conv_4,Conv,19267584,19710976,0,9830400,50176,0,0,0,0
conv_4,Conv,19267584,200704,0,100352,0,0,0,0,0
relu_4,Relu,100352,100352,0,50176,0,0,0,0,0
conv_5,Conv,28901376,29566464,0,14745600,75264,0,0,0,0
conv_5,Conv,28901376,301056,0,150528,0,0,0,0,0
relu_5,Relu,150528,150528,0,75264,0,0,0,0,0
conv_6,Conv,173408256,177047552,0,88473600,100352,0,0,0,0
conv_6,Conv,173408256,401408,0,200704,0,0,0,0,0
relu_6,Relu,200704,200704,0,100352,0,0,0,0,0
conv_7,Conv,4816896,9842944,0,4915200,12544,0,0,0,0
conv_7,Conv,4816896,50176,0,25088,0,0,0,0,0
relu_7,Relu,25088,25088,0,12544,0,0,0,0,0
conv_8,Conv,20070400,20505088,0,10240000,25088,0,0,0,0
conv_8,Conv,20070400,100352,0,50176,0,0,0,0,0
relu_8,Relu,50176,50176,0,25088,0,0,0,0,0
maxpool_3,Pooling,0,4000512,1742592,1053696,150528,150528,0,0,0
conv_9,Conv,9633792,9855488,0,4915200,25088,0,0,0,0
conv_9,Conv,9633792,100352,0,50176,0,0,0,0,0
relu_9,Relu,50176,50176,0,25088,0,0,0,0,0
conv_10,Conv,51380224,52529152,0,26214400,100352,0,0,0,0
conv_10,Conv,51380224,401408,0,200704,0,0,0,0,0
relu_10,Relu,200704,200704,0,100352,0,0,0,0,0
conv_11,Conv,51380224,52529152,0,26214400,100352,0,0,0,0
conv_11,Conv,51380224,401408,0,200704,0,0,0,0,0
relu_11,Relu,200704,200704,0,100352,0,0,0,0,0
conv_12,Conv,346816512,354044928,0,176947200,150528,0,0,0,0
conv_12,Conv,346816512,602112,0,301056,0,0,0,0,0
relu_12,Relu,301056,301056,0,150528,0,0,0,0,0
conv_13,Conv,12845056,13132288,0,6553600,25088,0,0,0,0
conv_13,Conv,12845056,100352,0,50176,0,0,0,0,0
relu_13,Relu,50176,50176,0,25088,0,0,0,0,0
conv_14,Conv,120422400,122955264,0,61440000,75264,0,0,0,0
conv_14,Conv,120422400,301056,0,150528,0,0,0,0,0
relu_14,Relu,150528,150528,0,75264,0,0,0,0,0
maxpool_4,Pooling,0,5334016,2323456,1404928,200704,200704,0,0,0
conv_15,Conv,25690112,26264576,0,13107200,50176,0,0,0,0
conv_15,Conv,25690112,200704,0,100352,0,0,0,0,0
relu_15,Relu,100352,100352,0,50176,0,0,0,0,0
maxpool_5,Pooling,0,93600,0,0,93600,0,0,0,0
conv_16,Conv,36126720,41325312,0,20643840,37632,0,0,0,0
conv_16,Conv,36126720,150528,0,75264,0,0,0,0,0
relu_16,Relu,75264,75264,0,37632,0,0,0,0,0
conv_17,Conv,18063360,20662656,0,10321920,18816,0,0,0,0
conv_17,Conv,18063360,75264,0,37632,0,0,0,0,0
relu_17,Relu,37632,37632,0,18816,0,0,0,0,0
conv_18,Conv,70447104,86744896,0,43352064,40768,0,0,0,0
conv_18,Conv,70447104,163072,0,81536,0,0,0,0,0
relu_18,Relu,81536,81536,0,40768,0,0,0,0,0
conv_19,Conv,3010560,6884416,0,3440640,3136,0,0,0,0
conv_19,Conv,3010560,12544,0,6272,0,0,0,0,0
relu_19,Relu,6272,6272,0,3136,0,0,0,0,0
conv_20,Conv,7526400,11478208,0,5734400,9408,0,0,0,0
conv_20,Conv,7526400,37632,0,18816,0,0,0,0,0
relu_20,Relu,18816,18816,0,9408,0,0,0,0,0
maxpool_6,Pooling,0,94080,0,0,94080,0,0,0,0
conv_21,Conv,12042240,13775104,0,6881280,12544,0,0,0,0
conv_21,Conv,12042240,50176,0,25088,0,0,0,0,0
relu_21,Relu,25088,25088,0,12544,0,0,0,0,0
conv_22,Conv,32112640,36731520,0,18350080,31360,0,0,0,0
conv_22,Conv,32112640,125440,0,62720,0,0,0,0,0
relu_22,Relu,62720,62720,0,31360,0,0,0,0,0
conv_23,Conv,22478848,29382080,0,14680064,21952,0,0,0,0
conv_23,Conv,22478848,87808,0,43904,0,0,0,0,0
relu_23,Relu,43904,43904,0,21952,0,0,0,0,0
conv_24,Conv,88510464,101198720,0,50577408,43904,0,0,0,0
conv_24,Conv,88510464,175616,0,87808,0,0,0,0,0
relu_24,Relu,87808,87808,0,43904,0,0,0,0,0
conv_25,Conv,4816896,7344736,0,3670016,4704,0,0,0,0
conv_25,Conv,4816896,18816,0,9408,0,0,0,0,0
relu_25,Relu,9408,9408,0,4704,0,0,0,0,0
conv_26,Conv,15052800,17215744,0,8601600,12544,0,0,0,0
conv_26,Conv,15052800,50176,0,25088,0,0,0,0,0
relu_26,Relu,25088,25088,0,12544,0,0,0,0,0
maxpool_7,Pooling,0,100352,0,0,100352,0,0,0,0
conv_27,Conv,12845056,14692608,0,7340032,12544,0,0,0,0
conv_27,Conv,12845056,50176,0,25088,0,0,0,0,0
relu_27,Relu,25088,25088,0,12544,0,0,0,0,0
conv_28,Conv,25690112,29385216,0,14680064,25088,0,0,0,0
conv_28,Conv,25690112,100352,0,50176,0,0,0,0,0
relu_28,Relu,50176,50176,0,25088,0,0,0,0,0
conv_29,Conv,25690112,29385216,0,14680064,25088,0,0,0,0
conv_29,Conv,25690112,100352,0,50176,0,0,0,0,0
relu_29,Relu,50176,50176,0,25088,0,0,0,0,0
conv_30,Conv,115605504,132170752,0,66060288,50176,0,0,0,0
