LayerName,LayerType,Theoretical Flops,flop_count_sp,flops_sp_add,flops_sp_fma,flops_sp_mul,flops_sp_special,achieved_occupancy,dram_read_bytes,dram_write_bytes
conv_1,Conv,236027904,244858880,0,122028032,802816,0,0,0,0
conv_1,Conv,236027904,3211264,0,1605632,0,0,0,0,0
relu_1,Relu,1605632,1605632,0,802816,0,0,0,0,0
maxpool_1,Pooling,0,200640,0,0,200640,0,0,0,0
conv_2,Conv,24780800,25097280,0,12451840,193600,0,0,0,0
conv_2,Conv,24780800,774400,0,387200,0,0,0,0,0
relu_2,Relu,387200,387200,0,193600,0,0,0,0,0
conv_3,Conv,669081600,672980160,0,336199680,580800,0,0,0,0
conv_3,Conv,669081600,2323200,0,1161600,0,0,0,0,0
relu_3,Relu,1161600,1161600,0,580800,0,0,0,0,0
maxpool_2,Pooling,0,139968,0,0,139968,0,0,0,0
conv_4,Conv,17915904,18134592,0,9043968,46656,0,0,0,0
conv_4,Conv,17915904,186624,0,93312,0,0,0,0,0
relu_4,Relu,93312,93312,0,46656,0,0,0,0,0
conv_5,Conv,26873856,27201888,0,13565952,69984,0,0,0,0
conv_5,Conv,26873856,279936,0,139968,0,0,0,0,0
relu_5,Relu,139968,139968,0,69984,0,0,0,0,0
conv_6,Conv,161243136,162884736,0,81395712,93312,0,0,0,0
conv_6,Conv,161243136,373248,0,186624,0,0,0,0,0
relu_6,Relu,186624,186624,0,93312,0,0,0,0,0
conv_7,Conv,4478976,9055632,0,4521984,11664,0,0,0,0
conv_7,Conv,4478976,46656,0,23328,0,0,0,0,0
relu_7,Relu,23328,23328,0,11664,0,0,0,0,0
conv_8,Conv,18662400,18864928,0,9420800,23328,0,0,0,0
conv_8,Conv,18662400,93312,0,46656,0,0,0,0,0
relu_8,Relu,46656,46656,0,23328,0,0,0,0,0
maxpool_3,Pooling,0,139968,0,0,139968,0,0,0,0
conv_9,Conv,8957952,9067296,0,4521984,23328,0,0,0,0
conv_9,Conv,8957952,93312,0,46656,0,0,0,0,0
relu_9,Relu,46656,46656,0,23328,0,0,0,0,0
conv_10,Conv,47775744,48327808,0,24117248,93312,0,0,0,0
conv_10,Conv,47775744,373248,0,186624,0,0,0,0,0
relu_10,Relu,186624,186624,0,93312,0,0,0,0,0
conv_11,Conv,47775744,48327808,0,24117248,93312,0,0,0,0
conv_11,Conv,47775744,373248,0,186624,0,0,0,0,0
relu_11,Relu,186624,186624,0,93312,0,0,0,0,0
conv_12,Conv,322486272,325722816,0,162791424,139968,0,0,0,0
conv_12,Conv,322486272,559872,0,279936,0,0,0,0,0
relu_12,Relu,279936,279936,0,139968,0,0,0,0,0
conv_13,Conv,11943936,12081952,0,6029312,23328,0,0,0,0
conv_13,Conv,11943936,93312,0,46656,0,0,0,0,0
relu_13,Relu,46656,46656,0,23328,0,0,0,0,0
conv_14,Conv,111974400,113119584,0,56524800,69984,0,0,0,0
conv_14,Conv,111974400,279936,0,139968,0,0,0,0,0
relu_14,Relu,139968,139968,0,69984,0,0,0,0,0
maxpool_4,Pooling,0,186624,0,0,186624,0,0,0,0
conv_15,Conv,23887872,24163904,0,12058624,46656,0,0,0,0
conv_15,Conv,23887872,186624,0,93312,0,0,0,0,0
relu_15,Relu,93312,93312,0,46656,0,0,0,0,0
maxpool_5,Pooling,0,81120,0,0,81120,0,0,0,0
conv_16,Conv,31150080,35421888,0,17694720,32448,0,0,0,0
conv_16,Conv,31150080,129792,0,64896,0,0,0,0,0
relu_16,Relu,64896,64896,0,32448,0,0,0,0,0
conv_17,Conv,15575040,17710944,0,8847360,16224,0,0,0,0
conv_17,Conv,15575040,64896,0,32448,0,0,0,0,0
relu_17,Relu,32448,32448,0,16224,0,0,0,0,0
conv_18,Conv,60742656,74352976,0,37158912,35152,0,0,0,0
conv_18,Conv,60742656,140608,0,70304,0,0,0,0,0
relu_18,Relu,70304,70304,0,35152,0,0,0,0,0
conv_19,Conv,2595840,5900944,0,2949120,2704,0,0,0,0
conv_19,Conv,2595840,10816,0,5408,0,0,0,0,0
relu_19,Relu,5408,5408,0,2704,0,0,0,0,0
conv_20,Conv,6489600,9838512,0,4915200,8112,0,0,0,0
conv_20,Conv,6489600,32448,0,16224,0,0,0,0,0
relu_20,Relu,16224,16224,0,8112,0,0,0,0,0
maxpool_6,Pooling,0,81120,0,0,81120,0,0,0,0
conv_21,Conv,10383360,11807296,0,5898240,10816,0,0,0,0
conv_21,Conv,10383360,43264,0,21632,0,0,0,0,0
relu_21,Relu,21632,21632,0,10816,0,0,0,0,0
conv_22,Conv,27688960,31484320,0,15728640,27040,0,0,0,0
conv_22,Conv,27688960,108160,0,54080,0,0,0,0,0
relu_22,Relu,54080,54080,0,27040,0,0,0,0,0
conv_23,Conv,19382272,25184752,0,12582912,18928,0,0,0,0
conv_23,Conv,19382272,75712,0,37856,0,0,0,0,0
relu_23,Relu,37856,37856,0,18928,0,0,0,0,0
conv_24,Conv,76317696,86741984,0,43352064,37856,0,0,0,0
conv_24,Conv,76317696,151424,0,75712,0,0,0,0,0
relu_24,Relu,75712,75712,0,37856,0,0,0,0,0
conv_25,Conv,4153344,6295512,0,3145728,4056,0,0,0,0
conv_25,Conv,4153344,16224,0,8112,0,0,0,0,0
relu_25,Relu,8112,8112,0,4056,0,0,0,0,0
conv_26,Conv,12979200,14756416,0,7372800,10816,0,0,0,0
conv_26,Conv,12979200,43264,0,21632,0,0,0,0,0
relu_26,Relu,21632,21632,0,10816,0,0,0,0,0
maxpool_7,Pooling,0,86528,0,0,86528,0,0,0,0
conv_27,Conv,11075584,12593728,0,6291456,10816,0,0,0,0
conv_27,Conv,11075584,43264,0,21632,0,0,0,0,0
relu_27,Relu,21632,21632,0,10816,0,0,0,0,0
conv_28,Conv,22151168,25187456,0,12582912,21632,0,0,0,0
conv_28,Conv,22151168,86528,0,43264,0,0,0,0,0
relu_28,Relu,43264,43264,0,21632,0,0,0,0,0
conv_29,Conv,22151168,25187456,0,12582912,21632,0,0,0,0
conv_29,Conv,22151168,86528,0,43264,0,0,0,0,0
relu_29,Relu,43264,43264,0,21632,0,0,0,0,0
conv_30,Conv,99680256,113289472,0,56623104,43264,0,0,0,0
conv_30,Conv,99680256,173056,0,86528,0,0,0,0,0
