LayerName,LayerType,Theoretical Flops,flop_count_sp
squeezenet0_conv0_fwd,Conv,21290688,51382336
squeezenet0_conv0_fwd,Conv,21290688,811392
squeezenet0_relu0_fwd,Relu,1577088,788544
squeezenet0_pool0_fwd,Pooling,1742400,193600
squeezenet0_conv1_fwd,Conv,3097600,12500240
squeezenet0_conv1_fwd,Conv,3097600,55296
squeezenet0_relu1_fwd,Relu,96800,48400
squeezenet0_conv2_fwd,Conv,3097600,6419520
squeezenet0_conv2_fwd,Conv,3097600,204800
squeezenet0_relu2_fwd,Relu,387200,193600
squeezenet0_conv3_fwd,Conv,27878400,56226880
squeezenet0_conv3_fwd,Conv,27878400,204800
squeezenet0_relu3_fwd,Relu,387200,193600
squeezenet0_conv4_fwd,Conv,6195200,24952080
squeezenet0_conv4_fwd,Conv,6195200,55296
squeezenet0_relu4_fwd,Relu,96800,48400
squeezenet0_conv5_fwd,Conv,3097600,6419520
squeezenet0_conv5_fwd,Conv,3097600,204800
squeezenet0_relu5_fwd,Relu,387200,193600
squeezenet0_conv6_fwd,Conv,27878400,56226880
squeezenet0_conv6_fwd,Conv,27878400,204800
squeezenet0_relu6_fwd,Relu,387200,193600
squeezenet0_pool1_fwd,Pooling,839808,93312
squeezenet0_conv7_fwd,Conv,2985984,6052640
squeezenet0_conv7_fwd,Conv,2985984,28672
squeezenet0_relu7_fwd,Relu,46656,23328
squeezenet0_conv8_fwd,Conv,2985984,6122624
squeezenet0_conv8_fwd,Conv,2985984,114688
squeezenet0_relu8_fwd,Relu,186624,93312
squeezenet0_conv9_fwd,Conv,26873856,54357120
squeezenet0_conv9_fwd,Conv,26873856,114688
squeezenet0_relu9_fwd,Relu,186624,93312
squeezenet0_conv10_fwd,Conv,5971968,12081952
squeezenet0_conv10_fwd,Conv,5971968,28672
squeezenet0_relu10_fwd,Relu,46656,23328
squeezenet0_conv11_fwd,Conv,2985984,6122624
squeezenet0_conv11_fwd,Conv,2985984,114688
squeezenet0_relu11_fwd,Relu,186624,93312
squeezenet0_conv12_fwd,Conv,26873856,54357120
squeezenet0_conv12_fwd,Conv,26873856,114688
squeezenet0_relu12_fwd,Relu,186624,93312
squeezenet0_pool2_fwd,Pooling,389376,43264
squeezenet0_conv13_fwd,Conv,2076672,6299568
squeezenet0_conv13_fwd,Conv,2076672,12288
squeezenet0_relu13_fwd,Relu,16224,8112
squeezenet0_conv14_fwd,Conv,1557504,3571392
squeezenet0_conv14_fwd,Conv,1557504,49152
squeezenet0_relu14_fwd,Relu,64896,32448
squeezenet0_conv15_fwd,Conv,14017536,31882944
squeezenet0_conv15_fwd,Conv,14017536,49152
squeezenet0_relu15_fwd,Relu,64896,32448
squeezenet0_conv16_fwd,Conv,3115008,9445296
squeezenet0_conv16_fwd,Conv,3115008,12288
squeezenet0_relu16_fwd,Relu,16224,8112
squeezenet0_conv17_fwd,Conv,1557504,3571392
squeezenet0_conv17_fwd,Conv,1557504,49152
squeezenet0_relu17_fwd,Relu,64896,32448
squeezenet0_conv18_fwd,Conv,14017536,31882944
squeezenet0_conv18_fwd,Conv,14017536,49152
squeezenet0_relu18_fwd,Relu,64896,32448
squeezenet0_conv19_fwd,Conv,4153344,9448000
squeezenet0_conv19_fwd,Conv,4153344,16384
squeezenet0_relu19_fwd,Relu,21632,10816
squeezenet0_conv20_fwd,Conv,2768896,6334720
squeezenet0_conv20_fwd,Conv,2768896,65536
squeezenet0_relu20_fwd,Relu,86528,43264
squeezenet0_conv21_fwd,Conv,24920064,56666368
squeezenet0_conv21_fwd,Conv,24920064,65536
squeezenet0_relu21_fwd,Relu,86528,43264
squeezenet0_conv22_fwd,Conv,5537792,12593728
squeezenet0_conv22_fwd,Conv,5537792,16384
squeezenet0_relu22_fwd,Relu,21632,10816
squeezenet0_conv23_fwd,Conv,2768896,6334720
squeezenet0_conv23_fwd,Conv,2768896,65536
squeezenet0_relu23_fwd,Relu,86528,43264
squeezenet0_conv24_fwd,Conv,24920064,56666368
squeezenet0_conv24_fwd,Conv,24920064,65536
squeezenet0_relu24_fwd,Relu,86528,43264
squeezenet0_dropout0_fwd,Dropout,86528,322759
squeezenet0_conv25_fwd,Conv,86528000,201495592
squeezenet0_conv25_fwd,Conv,86528000,256000
squeezenet0_relu25_fwd,Relu,338000,169000
squeezenet0_pool3_fwd,Pooling,169000,197000
