LayerName,LayerType,Theoretical Flops,flop_count_sp
vgg0_conv0_fwd,Conv,1387266048,1669857280
vgg0_conv0_fwd,Conv,1387266048,102760448
vgg0_relu0_fwd,Relu,51380224,51380224
vgg0_conv1_fwd,Conv,29595009024,9291573930
vgg0_conv1_fwd,Conv,29595009024,102760448
vgg0_relu1_fwd,Relu,51380224,51380224
vgg0_pool0_fwd,Pooling,0,6422528
vgg0_conv2_fwd,Conv,14797504512,878026752
vgg0_conv2_fwd,Conv,14797504512,51380224
vgg0_relu2_fwd,Relu,25690112,25690112
vgg0_conv3_fwd,Conv,29595009024,29607854080
vgg0_conv3_fwd,Conv,29595009024,51380224
vgg0_relu3_fwd,Relu,25690112,25690112
vgg0_pool1_fwd,Pooling,0,3211264
vgg0_conv4_fwd,Conv,14797504512,5260443648
vgg0_conv4_fwd,Conv,14797504512,25690112
vgg0_relu4_fwd,Relu,12845056,12845056
vgg0_conv5_fwd,Conv,29595009024,25404899328
vgg0_conv5_fwd,Conv,29595009024,25690112
vgg0_relu5_fwd,Relu,12845056,12845056
vgg0_conv6_fwd,Conv,29595009024,25404899328
vgg0_conv6_fwd,Conv,29595009024,25690112
vgg0_relu6_fwd,Relu,12845056,12845056
vgg0_conv7_fwd,Conv,29595009024,25404899328
vgg0_conv7_fwd,Conv,29595009024,25690112
vgg0_relu7_fwd,Relu,12845056,12845056
vgg0_pool2_fwd,Pooling,0,1605632
vgg0_conv8_fwd,Conv,14797504512,5989815636
vgg0_conv8_fwd,Conv,14797504512,12845056
vgg0_relu8_fwd,Relu,6422528,6422528
vgg0_conv9_fwd,Conv,29595009024,29598220288
vgg0_conv9_fwd,Conv,29595009024,12845056
vgg0_relu9_fwd,Relu,6422528,6422528
vgg0_conv10_fwd,Conv,29595009024,29598220288
vgg0_conv10_fwd,Conv,29595009024,12845056
vgg0_relu10_fwd,Relu,6422528,6422528
vgg0_conv11_fwd,Conv,29595009024,29598220288
vgg0_conv11_fwd,Conv,29595009024,12845056
vgg0_relu11_fwd,Relu,6422528,6422528
vgg0_pool3_fwd,Pooling,0,802816
vgg0_conv12_fwd,Conv,7398752256,7399555072
vgg0_conv12_fwd,Conv,7398752256,3211264
vgg0_relu12_fwd,Relu,1605632,1605632
vgg0_conv13_fwd,Conv,7398752256,7399555072
vgg0_conv13_fwd,Conv,7398752256,3211264
vgg0_relu13_fwd,Relu,1605632,1605632
vgg0_conv14_fwd,Conv,7398752256,7399555072
vgg0_conv14_fwd,Conv,7398752256,3211264
vgg0_relu14_fwd,Relu,1605632,1605632
vgg0_conv15_fwd,Conv,7398752256,7399555072
vgg0_conv15_fwd,Conv,7398752256,3211264
vgg0_relu15_fwd,Relu,1605632,1605632
vgg0_pool4_fwd,Pooling,0,200704
vgg0_dense0_fwd,Gemm,33587200,270794752
vgg0_dense0_relu_fwd,Relu,65536,65536
vgg0_dropout0_fwd,Dropout,0,278500
vgg0_dense1_fwd,Gemm,268468224,4319608832
vgg0_dense1_relu_fwd,Relu,65536,65536
vgg0_dropout1_fwd,Dropout,0,278500
vgg0_dense2_fwd,Gemm,65544000,271122432
