LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,944111616,1958871040
conv_1,Conv,944111616,25690112
relu_1,Relu,12845056,12845056
maxpool_1,Pooling,14450688,1605120
conv_2,Conv,102760448,208732160
conv_2,Conv,102760448,6422528
relu_2,Relu,3211264,3211264
conv_3,Conv,2774532096,5553881088
conv_3,Conv,2774532096,19267584
relu_3,Relu,9633792,9633792
maxpool_2,Pooling,10838016,1202688
conv_4,Conv,77070336,154542080
conv_4,Conv,77070336,1605632
relu_4,Relu,802816,802816
conv_5,Conv,115605504,231813120
conv_5,Conv,115605504,2408448
relu_5,Relu,1204224,1204224
conv_6,Conv,693633024,1388068864
conv_6,Conv,693633024,3211264
relu_6,Relu,1605632,1605632
conv_7,Conv,19267584,77170688
conv_7,Conv,19267584,401408
relu_7,Relu,200704,200704
conv_8,Conv,80281600,160763904
conv_8,Conv,80281600,802816
relu_8,Relu,401408,401408
maxpool_3,Pooling,10838016,32004096
conv_9,Conv,38535168,77271040
conv_9,Conv,38535168,802816
relu_9,Relu,401408,401408
conv_10,Conv,205520896,411844608
conv_10,Conv,205520896,3211264
relu_10,Relu,1605632,1605632
conv_11,Conv,205520896,411844608
conv_11,Conv,205520896,3211264
relu_11,Relu,1605632,1605632
conv_12,Conv,1387266048,2775736320
conv_12,Conv,1387266048,4816896
relu_12,Relu,2408448,2408448
conv_13,Conv,51380224,102961152
conv_13,Conv,51380224,802816
relu_13,Relu,401408,401408
conv_14,Conv,481689600,963981312
conv_14,Conv,481689600,2408448
relu_14,Relu,1204224,1204224
maxpool_4,Pooling,14450688,42672128
conv_15,Conv,102760448,205922304
conv_15,Conv,102760448,1605632
relu_15,Relu,802816,802816
maxpool_5,Pooling,6773760,748800
conv_16,Conv,144506880,289314816
conv_16,Conv,144506880,1204224
relu_16,Relu,602112,602112
conv_17,Conv,72253440,144657408
conv_17,Conv,72253440,602112
relu_17,Relu,301056,301056
conv_18,Conv,281788416,607255040
conv_18,Conv,281788416,1304576
relu_18,Relu,652288,652288
conv_19,Conv,12042240,48194048
conv_19,Conv,12042240,100352
relu_19,Relu,50176,50176
conv_20,Conv,30105600,80356864
conv_20,Conv,30105600,301056
relu_20,Relu,150528,150528
maxpool_6,Pooling,6773760,752640
conv_21,Conv,48168960,102449152
conv_21,Conv,48168960,401408
relu_21,Relu,200704,200704
conv_22,Conv,128450560,257152000
conv_22,Conv,128450560,1003520
relu_22,Relu,501760,501760
conv_23,Conv,89915392,205696512
conv_23,Conv,89915392,702464
relu_23,Relu,351232,351232
conv_24,Conv,354041856,708434944
conv_24,Conv,354041856,1404928
relu_24,Relu,702464,702464
conv_25,Conv,19267584,51417856
conv_25,Conv,19267584,150528
relu_25,Relu,75264,75264
conv_26,Conv,60211200,120522752
conv_26,Conv,60211200,401408
relu_26,Relu,200704,200704
maxpool_7,Pooling,7225344,802816
conv_27,Conv,51380224,102860800
conv_27,Conv,51380224,401408
relu_27,Relu,200704,200704
conv_28,Conv,102760448,205721600
conv_28,Conv,102760448,802816
relu_28,Relu,401408,401408
conv_29,Conv,102760448,205721600
conv_29,Conv,102760448,802816
relu_29,Relu,401408,401408
conv_30,Conv,462422016,925245440
conv_30,Conv,462422016,1605632
relu_30,Relu,802816,802816
conv_31,Conv,19267584,51417856
conv_31,Conv,19267584,150528
relu_31,Relu,75264,75264
conv_32,Conv,60211200,120522752
conv_32,Conv,60211200,401408
relu_32,Relu,200704,200704
maxpool_8,Pooling,7225344,802816
conv_33,Conv,51380224,102860800
conv_33,Conv,51380224,401408
relu_33,Relu,200704,200704
conv_34,Conv,89915392,205696512
conv_34,Conv,89915392,702464
relu_34,Relu,351232,351232
conv_35,Conv,115605504,257126912
conv_35,Conv,115605504,903168
relu_35,Relu,451584,451584
conv_36,Conv,585252864,1170957312
conv_36,Conv,585252864,1806336
relu_36,Relu,903168,903168
conv_37,Conv,25690112,51430400
conv_37,Conv,25690112,200704
relu_37,Relu,100352,100352
conv_38,Conv,80281600,170606592
conv_38,Conv,80281600,401408
relu_38,Relu,200704,200704
maxpool_9,Pooling,7225344,802816
conv_39,Conv,51380224,102860800
conv_39,Conv,51380224,401408
relu_39,Relu,200704,200704
conv_40,Conv,211943424,424288256
conv_40,Conv,211943424,1605632
relu_40,Relu,802816,802816
conv_41,Conv,132464640,265180160
conv_41,Conv,132464640,1003520
relu_41,Relu,501760,501760
conv_42,Conv,722534400,1445570560
conv_42,Conv,722534400,2007040
relu_42,Relu,1003520,1003520
conv_43,Conv,26492928,53036032
conv_43,Conv,26492928,200704
relu_43,Relu,100352,100352
conv_44,Conv,160563200,321327104
conv_44,Conv,160563200,802816
relu_44,Relu,401408,401408
maxpool_10,Pooling,7451136,827904
conv_45,Conv,105971712,212144128
conv_45,Conv,105971712,802816
relu_45,Relu,401408,401408
maxpool_11,Pooling,2935296,319488
conv_46,Conv,83492864,218365952
conv_46,Conv,83492864,401408
relu_46,Relu,200704,200704
conv_47,Conv,52183040,110818560
conv_47,Conv,52183040,250880
relu_47,Relu,125440,125440
conv_48,Conv,180633600,383511040
conv_48,Conv,180633600,501760
relu_48,Relu,250880,250880
conv_49,Conv,10436608,22163712
conv_49,Conv,10436608,50176
relu_49,Relu,25088,25088
conv_50,Conv,40140800,85246976
conv_50,Conv,40140800,200704
relu_50,Relu,100352,100352
maxpool_12,Pooling,2935296,326144
conv_51,Conv,41746432,88654848
conv_51,Conv,41746432,200704
relu_51,Relu,100352,100352
conv_52,Conv,125239296,265964544
conv_52,Conv,125239296,602112
relu_52,Relu,301056,301056
conv_53,Conv,62619648,132982272
conv_53,Conv,62619648,301056
relu_53,Relu,150528,150528
conv_54,Conv,260112384,679870464
conv_54,Conv,260112384,602112
relu_54,Relu,301056,301056
conv_55,Conv,15654912,44321152
conv_55,Conv,15654912,75264
relu_55,Relu,37632,37632
conv_56,Conv,60211200,127845376
conv_56,Conv,60211200,200704
relu_56,Relu,100352,100352
maxpool_13,Pooling,2935296,326144
conv_57,Conv,41746432,88654848
conv_57,Conv,41746432,200704
relu_57,Relu,100352,100352
averagepool_1,Pooling,401408,581632
dropout_1,Dropout,8192,69605
dropout_1,Dropout,8192,69605
gemm_1,Gemm,1025000,2137512
softmax_1,Softmax,3000,11389
