LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,812934144,1650502656
conv_1,Conv,812934144,8957952
relu_1,Relu,4478976,4478976
maxpool_1,Pooling,5038848,559104
conv2_2,Conv,1791590400,7236667392
conv2_2,Conv,1791590400,5971968
relu_2,Relu,2985984,2985984
maxpool_2,Pooling,3115008,372736
conv_3,Conv,1196163072,2435312640
conv_3,Conv,1196163072,2076672
relu_3,Relu,1038336,1038336
conv4_2,Conv,897122304,3652709376
conv4_2,Conv,897122304,2076672
relu_4,Relu,1038336,1038336
conv5_2,Conv,598081536,1684733952
conv5_2,Conv,598081536,1384448
relu_5,Relu,692224,692224
maxpool_3,Pooling,663552,86016
gemm_1,Gemm,37752832,76992512
relu_6,Relu,8192,8192
dropout_1,Dropout,4096,34766
dropout_1,Dropout,4096,34766
gemm_2,Gemm,16781312,34230272
relu_7,Relu,8192,8192
dropout_2,Dropout,4096,34766
dropout_2,Dropout,4096,34766
gemm_3,Gemm,4097000,8523048
softmax_1,Softmax,3000,11389
