LayerName,LayerType,Theoretical Flops,flop_count_sp
resnetv27_batchnorm0_fwd,BatchNorm,301056,904704
resnetv27_conv0_fwd,Conv,118013952,245661696
resnetv27_batchnorm1_fwd,BatchNorm,1605632,15253504
resnetv27_relu0_fwd,Relu,1605632,1605632
resnetv27_pool0_fwd,Pooling,1806336,200704
resnetv27_stage1_batchnorm0_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation0,Relu,401408,401408
resnetv27_stage1_conv0_fwd,Conv,12845056,25890816
resnetv27_stage1_batchnorm1_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation1,Relu,401408,401408
resnetv27_stage1_conv1_fwd,Conv,115605504,231411712
resnetv27_stage1_batchnorm2_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation2,Relu,401408,401408
resnetv27_stage1_conv2_fwd,Conv,51380224,103563264
resnetv27_stage1_conv3_fwd,Conv,51380224,103563264
resnetv27_stage1__plus0,ElementWise,802816,3211264
resnetv27_stage1_batchnorm3_fwd,BatchNorm,1605632,15253504
resnetv27_stage1_activation3,Relu,1605632,1605632
resnetv27_stage1_conv4_fwd,Conv,51380224,102961152
resnetv27_stage1_batchnorm4_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation4,Relu,401408,401408
resnetv27_stage1_conv5_fwd,Conv,115605504,231411712
resnetv27_stage1_batchnorm5_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation5,Relu,401408,401408
resnetv27_stage1_conv6_fwd,Conv,51380224,103563264
resnetv27_stage1__plus1,ElementWise,802816,3211264
resnetv27_stage1_batchnorm6_fwd,BatchNorm,1605632,15253504
resnetv27_stage1_activation6,Relu,1605632,1605632
resnetv27_stage1_conv7_fwd,Conv,51380224,102961152
resnetv27_stage1_batchnorm7_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation7,Relu,401408,401408
resnetv27_stage1_conv8_fwd,Conv,115605504,231411712
resnetv27_stage1_batchnorm8_fwd,BatchNorm,401408,3813376
resnetv27_stage1_activation8,Relu,401408,401408
resnetv27_stage1_conv9_fwd,Conv,51380224,103563264
resnetv27_stage1__plus2,ElementWise,802816,3211264
resnetv27_stage2_batchnorm0_fwd,BatchNorm,1605632,15253504
resnetv27_stage2_activation0,Relu,1605632,1605632
resnetv27_stage2_conv0_fwd,Conv,102760448,205922304
resnetv27_stage2_batchnorm1_fwd,BatchNorm,802816,2473984
resnetv27_stage2_activation1,Relu,802816,802816
resnetv27_stage2_conv1_fwd,Conv,115605504,264470528
resnetv27_stage2_batchnorm2_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation2,Relu,200704,200704
resnetv27_stage2_conv2_fwd,Conv,51380224,105259008
resnetv27_stage2_conv3_fwd,Conv,102760448,210116608
resnetv27_stage2__plus0,ElementWise,401408,1605632
resnetv27_stage2_batchnorm3_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation3,Relu,802816,802816
resnetv27_stage2_conv4_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm4_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation4,Relu,200704,200704
resnetv27_stage2_conv5_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm5_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation5,Relu,200704,200704
resnetv27_stage2_conv6_fwd,Conv,51380224,105259008
resnetv27_stage2__plus1,ElementWise,401408,1605632
resnetv27_stage2_batchnorm6_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation6,Relu,802816,802816
resnetv27_stage2_conv7_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm7_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation7,Relu,200704,200704
resnetv27_stage2_conv8_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm8_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation8,Relu,200704,200704
resnetv27_stage2_conv9_fwd,Conv,51380224,105259008
resnetv27_stage2__plus2,ElementWise,401408,1605632
resnetv27_stage2_batchnorm9_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation9,Relu,802816,802816
resnetv27_stage2_conv10_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm10_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation10,Relu,200704,200704
resnetv27_stage2_conv11_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm11_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation11,Relu,200704,200704
resnetv27_stage2_conv12_fwd,Conv,51380224,105259008
resnetv27_stage2__plus3,ElementWise,401408,1605632
resnetv27_stage2_batchnorm12_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation12,Relu,802816,802816
resnetv27_stage2_conv13_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm13_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation13,Relu,200704,200704
resnetv27_stage2_conv14_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm14_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation14,Relu,200704,200704
resnetv27_stage2_conv15_fwd,Conv,51380224,105259008
resnetv27_stage2__plus4,ElementWise,401408,1605632
resnetv27_stage2_batchnorm15_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation15,Relu,802816,802816
resnetv27_stage2_conv16_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm16_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation16,Relu,200704,200704
resnetv27_stage2_conv17_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm17_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation17,Relu,200704,200704
resnetv27_stage2_conv18_fwd,Conv,51380224,105259008
resnetv27_stage2__plus5,ElementWise,401408,1605632
resnetv27_stage2_batchnorm18_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation18,Relu,802816,802816
resnetv27_stage2_conv19_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm19_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation19,Relu,200704,200704
resnetv27_stage2_conv20_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm20_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation20,Relu,200704,200704
resnetv27_stage2_conv21_fwd,Conv,51380224,105259008
resnetv27_stage2__plus6,ElementWise,401408,1605632
resnetv27_stage2_batchnorm21_fwd,BatchNorm,802816,7626752
resnetv27_stage2_activation21,Relu,802816,802816
resnetv27_stage2_conv22_fwd,Conv,51380224,104957952
resnetv27_stage2_batchnorm22_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation22,Relu,200704,200704
resnetv27_stage2_conv23_fwd,Conv,115605504,236029952
resnetv27_stage2_batchnorm23_fwd,BatchNorm,200704,1906688
resnetv27_stage2_activation23,Relu,200704,200704
resnetv27_stage2_conv24_fwd,Conv,51380224,105259008
resnetv27_stage2__plus7,ElementWise,401408,1605632
resnetv27_stage3_batchnorm0_fwd,BatchNorm,802816,7626752
resnetv27_stage3_activation0,Relu,802816,802816
resnetv27_stage3_conv0_fwd,Conv,102760448,209915904
resnetv27_stage3_batchnorm1_fwd,BatchNorm,401408,1269760
resnetv27_stage3_activation1,Relu,401408,401408
resnetv27_stage3_conv1_fwd,Conv,115605504,264291328
resnetv27_stage3_batchnorm2_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation2,Relu,100352,100352
resnetv27_stage3_conv2_fwd,Conv,51380224,117641216
resnetv27_stage3_conv3_fwd,Conv,102760448,235081728
resnetv27_stage3__plus0,ElementWise,200704,802816
resnetv27_stage3_batchnorm3_fwd,BatchNorm,401408,3813376
resnetv27_stage3_activation3,Relu,401408,401408
resnetv27_stage3_conv4_fwd,Conv,51380224,117490688
resnetv27_stage3_batchnorm4_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation4,Relu,100352,100352
resnetv27_stage3_conv5_fwd,Conv,115605504,264291328
resnetv27_stage3_batchnorm5_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation5,Relu,100352,100352
resnetv27_stage3_conv6_fwd,Conv,51380224,117641216
resnetv27_stage3__plus1,ElementWise,200704,802816
resnetv27_stage3_batchnorm6_fwd,BatchNorm,401408,3813376
resnetv27_stage3_activation6,Relu,401408,401408
resnetv27_stage3_conv7_fwd,Conv,51380224,117490688
resnetv27_stage3_batchnorm7_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation7,Relu,100352,100352
resnetv27_stage3_conv8_fwd,Conv,115605504,264291328
resnetv27_stage3_batchnorm8_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation8,Relu,100352,100352
resnetv27_stage3_conv9_fwd,Conv,51380224,117641216
resnetv27_stage3__plus2,ElementWise,200704,802816
resnetv27_stage3_batchnorm9_fwd,BatchNorm,401408,3813376
resnetv27_stage3_activation9,Relu,401408,401408
resnetv27_stage3_conv10_fwd,Conv,51380224,117490688
resnetv27_stage3_batchnorm10_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation10,Relu,100352,100352
resnetv27_stage3_conv11_fwd,Conv,115605504,264291328
resnetv27_stage3_batchnorm11_fwd,BatchNorm,100352,953344
resnetv27_stage3_activation11,Relu,100352,100352
resnetv27_stage3_conv12_fwd,Conv,51380224,117641216
resnetv27_stage3__plus3,ElementWise,200704,802816
