LayerName,LayerType,Theoretical Flops,flop_count_sp
resnetv27_batchnorm0_fwd,BatchNorm,2408448,7237632
resnetv27_conv0_fwd,Conv,944111616,1958871040
resnetv27_batchnorm1_fwd,BatchNorm,12845056,38797312
resnetv27_relu0_fwd,Relu,12845056,6422528
resnetv27_pool0_fwd,Pooling,14450688,1605632
resnetv27_stage1_batchnorm0_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation0,Relu,3211264,1605632
resnetv27_stage1_conv0_fwd,Conv,102760448,207126528
resnetv27_stage1_batchnorm1_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation1,Relu,3211264,1605632
resnetv27_stage1_conv1_fwd,Conv,924844032,1851293696
resnetv27_stage1_batchnorm2_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation2,Relu,3211264,1605632
resnetv27_stage1_conv2_fwd,Conv,411041792,828506112
resnetv27_stage1_conv3_fwd,Conv,411041792,828506112
resnetv27_stage1__plus0,ElementWise,6422528,31465472
resnetv27_stage1_batchnorm3_fwd,BatchNorm,12845056,39583744
resnetv27_stage1_activation3,Relu,12845056,6422528
resnetv27_stage1_conv4_fwd,Conv,411041792,823689216
resnetv27_stage1_batchnorm4_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation4,Relu,3211264,1605632
resnetv27_stage1_conv5_fwd,Conv,924844032,1851293696
resnetv27_stage1_batchnorm5_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation5,Relu,3211264,1605632
resnetv27_stage1_conv6_fwd,Conv,411041792,828506112
resnetv27_stage1__plus1,ElementWise,6422528,31465472
resnetv27_stage1_batchnorm6_fwd,BatchNorm,12845056,39583744
resnetv27_stage1_activation6,Relu,12845056,6422528
resnetv27_stage1_conv7_fwd,Conv,411041792,823689216
resnetv27_stage1_batchnorm7_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation7,Relu,3211264,1605632
resnetv27_stage1_conv8_fwd,Conv,924844032,1851293696
resnetv27_stage1_batchnorm8_fwd,BatchNorm,3211264,9895936
resnetv27_stage1_activation8,Relu,3211264,1605632
resnetv27_stage1_conv9_fwd,Conv,411041792,828506112
resnetv27_stage1__plus2,ElementWise,6422528,31465472
resnetv27_stage2_batchnorm0_fwd,BatchNorm,12845056,39583744
resnetv27_stage2_activation0,Relu,12845056,6422528
resnetv27_stage2_conv0_fwd,Conv,822083584,1647378432
resnetv27_stage2_batchnorm1_fwd,BatchNorm,6422528,19791872
resnetv27_stage2_activation1,Relu,6422528,3211264
resnetv27_stage2_conv1_fwd,Conv,924844032,1850490880
resnetv27_stage2_batchnorm2_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation2,Relu,1605632,802816
resnetv27_stage2_conv2_fwd,Conv,411041792,825294848
resnetv27_stage2_conv3_fwd,Conv,822083584,1647378432
resnetv27_stage2__plus0,ElementWise,3211264,15867904
resnetv27_stage2_batchnorm3_fwd,BatchNorm,6422528,20316160
resnetv27_stage2_activation3,Relu,6422528,3211264
resnetv27_stage2_conv4_fwd,Conv,411041792,822886400
resnetv27_stage2_batchnorm4_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation4,Relu,1605632,802816
resnetv27_stage2_conv5_fwd,Conv,924844032,1850490880
resnetv27_stage2_batchnorm5_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation5,Relu,1605632,802816
resnetv27_stage2_conv6_fwd,Conv,411041792,825294848
resnetv27_stage2__plus1,ElementWise,3211264,15867904
resnetv27_stage2_batchnorm6_fwd,BatchNorm,6422528,20316160
resnetv27_stage2_activation6,Relu,6422528,3211264
resnetv27_stage2_conv7_fwd,Conv,411041792,822886400
resnetv27_stage2_batchnorm7_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation7,Relu,1605632,802816
resnetv27_stage2_conv8_fwd,Conv,924844032,1850490880
resnetv27_stage2_batchnorm8_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation8,Relu,1605632,802816
resnetv27_stage2_conv9_fwd,Conv,411041792,825294848
resnetv27_stage2__plus2,ElementWise,3211264,15867904
resnetv27_stage2_batchnorm9_fwd,BatchNorm,6422528,20316160
resnetv27_stage2_activation9,Relu,6422528,3211264
resnetv27_stage2_conv10_fwd,Conv,411041792,822886400
resnetv27_stage2_batchnorm10_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation10,Relu,1605632,802816
resnetv27_stage2_conv11_fwd,Conv,924844032,1850490880
resnetv27_stage2_batchnorm11_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation11,Relu,1605632,802816
resnetv27_stage2_conv12_fwd,Conv,411041792,825294848
resnetv27_stage2__plus3,ElementWise,3211264,15867904
resnetv27_stage2_batchnorm12_fwd,BatchNorm,6422528,20316160
resnetv27_stage2_activation12,Relu,6422528,3211264
resnetv27_stage2_conv13_fwd,Conv,411041792,822886400
resnetv27_stage2_batchnorm13_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation13,Relu,1605632,802816
resnetv27_stage2_conv14_fwd,Conv,924844032,1850490880
resnetv27_stage2_batchnorm14_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation14,Relu,1605632,802816
resnetv27_stage2_conv15_fwd,Conv,411041792,825294848
resnetv27_stage2__plus4,ElementWise,3211264,15867904
resnetv27_stage2_batchnorm15_fwd,BatchNorm,6422528,20316160
resnetv27_stage2_activation15,Relu,6422528,3211264
resnetv27_stage2_conv16_fwd,Conv,411041792,822886400
resnetv27_stage2_batchnorm16_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation16,Relu,1605632,802816
resnetv27_stage2_conv17_fwd,Conv,924844032,1850490880
resnetv27_stage2_batchnorm17_fwd,BatchNorm,1605632,5079040
resnetv27_stage2_activation17,Relu,1605632,802816
resnetv27_stage2_conv18_fwd,Conv,411041792,825294848
resnetv27_stage2__plus5,ElementWise,3211264,15867904
resnetv27_stage2_batchnorm18_fwd,BatchNorm,6422528,20316160
resnetv27_stage2_activation18,Relu,6422528,3211264
