LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,236027904,244858880
conv_1,Conv,236027904,835584
relu_1,Relu,1605632,802816
maxpool_1,Pooling,0,200640
conv_2,Conv,25690112,25890816
conv_2,Conv,25690112,229504
relu_2,Relu,401408,200704
conv_3,Conv,693633024,694235136
conv_3,Conv,693633024,639360
relu_3,Relu,1204224,602112
maxpool_2,Pooling,0,150336
conv_4,Conv,19267584,19710976
conv_4,Conv,19267584,57344
relu_4,Relu,100352,50176
conv_5,Conv,28901376,29566464
conv_5,Conv,28901376,86016
relu_5,Relu,150528,75264
conv_6,Conv,173408256,177047552
conv_6,Conv,173408256,114688
relu_6,Relu,200704,100352
conv_7,Conv,4816896,9842944
conv_7,Conv,4816896,14336
relu_7,Relu,25088,12544
conv_8,Conv,20070400,20505088
conv_8,Conv,20070400,28672
relu_8,Relu,50176,25088
maxpool_3,Pooling,0,4000512
conv_9,Conv,9633792,9855488
conv_9,Conv,9633792,28672
relu_9,Relu,50176,25088
conv_10,Conv,51380224,52529152
conv_10,Conv,51380224,114688
relu_10,Relu,200704,100352
conv_11,Conv,51380224,52529152
conv_11,Conv,51380224,114688
relu_11,Relu,200704,100352
conv_12,Conv,346816512,354044928
conv_12,Conv,346816512,172032
relu_12,Relu,301056,150528
conv_13,Conv,12845056,13132288
conv_13,Conv,12845056,28672
relu_13,Relu,50176,25088
conv_14,Conv,120422400,122955264
conv_14,Conv,120422400,86016
relu_14,Relu,150528,75264
maxpool_4,Pooling,0,5334016
conv_15,Conv,25690112,26264576
conv_15,Conv,25690112,57344
relu_15,Relu,100352,50176
maxpool_5,Pooling,0,93600
conv_16,Conv,36126720,41325312
conv_16,Conv,36126720,49152
relu_16,Relu,75264,37632
conv_17,Conv,18063360,20662656
conv_17,Conv,18063360,24576
relu_17,Relu,37632,18816
conv_18,Conv,70447104,86744896
conv_18,Conv,70447104,53248
relu_18,Relu,81536,40768
conv_19,Conv,3010560,6884416
conv_19,Conv,3010560,4096
relu_19,Relu,6272,3136
conv_20,Conv,7526400,11478208
conv_20,Conv,7526400,12288
relu_20,Relu,18816,9408
maxpool_6,Pooling,0,94080
conv_21,Conv,12042240,13775104
conv_21,Conv,12042240,16384
relu_21,Relu,25088,12544
conv_22,Conv,32112640,36731520
conv_22,Conv,32112640,40960
relu_22,Relu,62720,31360
conv_23,Conv,22478848,29382080
conv_23,Conv,22478848,28672
relu_23,Relu,43904,21952
conv_24,Conv,88510464,101198720
conv_24,Conv,88510464,57344
relu_24,Relu,87808,43904
conv_25,Conv,4816896,7344736
conv_25,Conv,4816896,6144
relu_25,Relu,9408,4704
conv_26,Conv,15052800,17215744
conv_26,Conv,15052800,16384
relu_26,Relu,25088,12544
maxpool_7,Pooling,0,100352
conv_27,Conv,12845056,14692608
conv_27,Conv,12845056,16384
relu_27,Relu,25088,12544
conv_28,Conv,25690112,29385216
conv_28,Conv,25690112,32768
relu_28,Relu,50176,25088
conv_29,Conv,25690112,29385216
conv_29,Conv,25690112,32768
relu_29,Relu,50176,25088
conv_30,Conv,115605504,132170752
conv_30,Conv,115605504,65536
relu_30,Relu,100352,50176
conv_31,Conv,4816896,7344736
conv_31,Conv,4816896,6144
relu_31,Relu,9408,4704
conv_32,Conv,15052800,17215744
conv_32,Conv,15052800,16384
relu_32,Relu,25088,12544
maxpool_8,Pooling,0,100352
conv_33,Conv,12845056,14692608
conv_33,Conv,12845056,16384
relu_33,Relu,25088,12544
conv_34,Conv,22478848,29382080
conv_34,Conv,22478848,28672
relu_34,Relu,43904,21952
conv_35,Conv,28901376,36728384
conv_35,Conv,28901376,36864
relu_35,Relu,56448,28224
conv_36,Conv,146313216,167271552
conv_36,Conv,146313216,73728
relu_36,Relu,112896,56448
conv_37,Conv,6422528,7346304
conv_37,Conv,6422528,8192
relu_37,Relu,12544,6272
conv_38,Conv,20070400,22950144
conv_38,Conv,20070400,16384
relu_38,Relu,25088,12544
maxpool_9,Pooling,0,100352
conv_39,Conv,12845056,14692608
conv_39,Conv,12845056,16384
relu_39,Relu,25088,12544
conv_40,Conv,52985856,60605440
conv_40,Conv,52985856,65536
relu_40,Relu,100352,50176
conv_41,Conv,33116160,37878400
conv_41,Conv,33116160,40960
relu_41,Relu,62720,31360
conv_42,Conv,180633600,206501120
conv_42,Conv,180633600,81920
relu_42,Relu,125440,62720
conv_43,Conv,6623232,7575680
conv_43,Conv,6623232,8192
relu_43,Relu,12544,6272
conv_44,Conv,40140800,45900288
conv_44,Conv,40140800,32768
relu_44,Relu,50176,25088
maxpool_10,Pooling,0,103488
conv_45,Conv,26492928,30302720
conv_45,Conv,26492928,32768
relu_45,Relu,50176,25088
maxpool_11,Pooling,0,39936
conv_46,Conv,20873216,27275520
conv_46,Conv,20873216,25088
relu_46,Relu,25088,12544
conv_47,Conv,13045760,17047200
conv_47,Conv,13045760,15680
relu_47,Relu,15680,7840
conv_48,Conv,45158400,58998080
conv_48,Conv,45158400,31360
relu_48,Relu,31360,15680
conv_49,Conv,2609152,3409440
conv_49,Conv,2609152,3136
relu_49,Relu,3136,1568
conv_50,Conv,10035200,13113472
conv_50,Conv,10035200,12544
relu_50,Relu,12544,6272
maxpool_12,Pooling,0,40768
conv_51,Conv,10436608,13637760
conv_51,Conv,10436608,12544
relu_51,Relu,12544,6272
conv_52,Conv,31309824,40913280
conv_52,Conv,31309824,37632
relu_52,Relu,37632,18816
conv_53,Conv,15654912,20456640
conv_53,Conv,15654912,18816
relu_53,Relu,18816,9408
conv_54,Conv,65028096,84953472
conv_54,Conv,65028096,37632
relu_54,Relu,37632,18816
conv_55,Conv,3913728,6818096
conv_55,Conv,3913728,4704
relu_55,Relu,4704,2352
conv_56,Conv,15052800,19667072
conv_56,Conv,15052800,12544
relu_56,Relu,12544,6272
maxpool_13,Pooling,0,40768
conv_57,Conv,10436608,13637760
conv_57,Conv,10436608,12544
relu_57,Relu,12544,6272
averagepool_1,Pooling,50176,72704
dropout_1,Dropout,0,8691
dropout_1,Dropout,0,8691
gemm_1,Gemm,2049000,2137512
softmax_1,Softmax,3000,11260
