LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,101616768,277628288
conv_1,Conv,101616768,307200
relu_1,Relu,559872,279936
maxpool_1,Pooling,584064,64896
conv2_2,Conv,207667200,865248256
conv2_2,Conv,207667200,229376
relu_2,Relu,346112,173056
maxpool_2,Pooling,331776,36864
conv_3,Conv,127401984,283170816
conv_3,Conv,127401984,98304
relu_3,Relu,110592,55296
conv4_2,Conv,95551488,424728576
conv4_2,Conv,95551488,98304
relu_4,Relu,110592,55296
conv5_2,Conv,63700992,283152384
conv5_2,Conv,63700992,65536
relu_5,Relu,73728,36864
maxpool_3,Pooling,82944,7680
gemm_1,Gemm,37752832,76992512
relu_6,Relu,8192,4096
dropout_1,Dropout,4096,34799
dropout_1,Dropout,4096,34799
gemm_2,Gemm,16781312,34230272
relu_7,Relu,8192,4096
dropout_2,Dropout,4096,34799
dropout_2,Dropout,4096,34799
gemm_3,Gemm,4097000,8523048
softmax_1,Softmax,3000,11260
