LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,236027904,244858880
batchnormalization_1,BatchNorm,1605632,15253504
mul_1,ElementWise,1605632,3997696
add_1,ElementWise,802816,3997696
relu_1,Relu,1605632,802816
maxpool_1,Pooling,0,200704
batchnormalization_2,BatchNorm,401408,3813376
mul_2,ElementWise,401408,983296
add_2,ElementWise,200704,983296
relu_2,Relu,401408,200704
conv_2,Conv,51380224,51781632
batchnormalization_3,BatchNorm,802816,2473984
mul_3,ElementWise,802816,1966592
add_3,ElementWise,401408,1966592
relu_3,Relu,802816,401408
conv_3,Conv,231211008,231311360
batchnormalization_4,BatchNorm,602112,5720064
mul_4,ElementWise,602112,1474944
add_4,ElementWise,301056,1474944
relu_4,Relu,602112,301056
conv_4,Conv,77070336,77471744
batchnormalization_5,BatchNorm,802816,2473984
mul_5,ElementWise,802816,1966592
add_5,ElementWise,401408,1966592
relu_5,Relu,802816,401408
conv_5,Conv,231211008,231311360
batchnormalization_6,BatchNorm,802816,2473984
mul_6,ElementWise,802816,1966592
add_6,ElementWise,401408,1966592
relu_6,Relu,802816,401408
conv_6,Conv,102760448,103161856
batchnormalization_7,BatchNorm,802816,2473984
mul_7,ElementWise,802816,1966592
add_7,ElementWise,401408,1966592
relu_7,Relu,802816,401408
conv_7,Conv,231211008,231311360
batchnormalization_8,BatchNorm,1003520,9533440
mul_8,ElementWise,1003520,2458240
add_8,ElementWise,501760,2458240
relu_8,Relu,1003520,501760
conv_8,Conv,128450560,128851968
batchnormalization_9,BatchNorm,802816,2473984
mul_9,ElementWise,802816,1966592
add_9,ElementWise,401408,1966592
relu_9,Relu,802816,401408
conv_9,Conv,231211008,231311360
batchnormalization_10,BatchNorm,1204224,11440128
mul_10,ElementWise,1204224,2949888
add_10,ElementWise,602112,2949888
relu_10,Relu,1204224,602112
conv_10,Conv,154140672,154542080
batchnormalization_11,BatchNorm,802816,2473984
mul_11,ElementWise,802816,1966592
add_11,ElementWise,401408,1966592
relu_11,Relu,802816,401408
conv_11,Conv,231211008,231311360
batchnormalization_12,BatchNorm,1404928,13346816
mul_12,ElementWise,1404928,3441536
add_12,ElementWise,702464,3441536
relu_12,Relu,1404928,702464
conv_12,Conv,179830784,180232192
batchnormalization_13,BatchNorm,802816,2473984
mul_13,ElementWise,802816,1966592
add_13,ElementWise,401408,1966592
relu_13,Relu,802816,401408
conv_13,Conv,231211008,231311360
batchnormalization_14,BatchNorm,1605632,15253504
mul_14,ElementWise,1605632,3933184
add_14,ElementWise,802816,3933184
relu_14,Relu,1605632,802816
conv_14,Conv,205520896,205922304
averagepool_1,Pooling,401408,2107392
batchnormalization_15,BatchNorm,200704,1906688
mul_15,ElementWise,200704,466944
add_15,ElementWise,100352,466944
relu_15,Relu,200704,100352
conv_15,Conv,25690112,26314752
batchnormalization_16,BatchNorm,200704,1906688
mul_16,ElementWise,200704,466944
add_16,ElementWise,100352,466944
relu_16,Relu,200704,100352
conv_16,Conv,57802752,59007488
batchnormalization_17,BatchNorm,250880,2383360
mul_17,ElementWise,250880,583680
add_17,ElementWise,125440,583680
relu_17,Relu,250880,125440
conv_17,Conv,32112640,32868352
batchnormalization_18,BatchNorm,200704,1906688
mul_18,ElementWise,200704,466944
add_18,ElementWise,100352,466944
relu_18,Relu,200704,100352
conv_18,Conv,57802752,59007488
batchnormalization_19,BatchNorm,301056,2860032
mul_19,ElementWise,301056,700416
add_19,ElementWise,150528,700416
relu_19,Relu,301056,150528
conv_19,Conv,38535168,39421952
batchnormalization_20,BatchNorm,200704,1906688
mul_20,ElementWise,200704,466944
add_20,ElementWise,100352,466944
relu_20,Relu,200704,100352
conv_20,Conv,57802752,59007488
batchnormalization_21,BatchNorm,351232,3336704
mul_21,ElementWise,351232,817152
add_21,ElementWise,175616,817152
relu_21,Relu,351232,175616
conv_21,Conv,44957696,45975552
batchnormalization_22,BatchNorm,200704,1906688
mul_22,ElementWise,200704,466944
add_22,ElementWise,100352,466944
relu_22,Relu,200704,100352
conv_22,Conv,57802752,59007488
batchnormalization_23,BatchNorm,401408,1269760
mul_23,ElementWise,401408,933888
add_23,ElementWise,200704,933888
relu_23,Relu,401408,200704
conv_23,Conv,51380224,52529152
batchnormalization_24,BatchNorm,200704,1906688
mul_24,ElementWise,200704,466944
add_24,ElementWise,100352,466944
relu_24,Relu,200704,100352
