LayerName,LayerType,Theoretical Flops,dram_read_bytes,dram_write_bytes
conv_1,Conv,236027904,0,0
conv_1,Conv,236027904,0,0
relu_1,Relu,1605632,0,0
maxpool_1,Pooling,0,0,0
conv_2,Conv,25690112,0,0
conv_2,Conv,25690112,0,0
relu_2,Relu,401408,0,0
conv_3,Conv,693633024,0,0
conv_3,Conv,693633024,0,0
relu_3,Relu,1204224,0,0
maxpool_2,Pooling,0,0,0
conv_4,Conv,19267584,0,0
conv_4,Conv,19267584,0,0
relu_4,Relu,100352,0,0
conv_5,Conv,28901376,0,0
conv_5,Conv,28901376,0,0
relu_5,Relu,150528,0,0
conv_6,Conv,173408256,0,0
conv_6,Conv,173408256,0,0
relu_6,Relu,200704,0,0
conv_7,Conv,4816896,0,0
conv_7,Conv,4816896,0,0
relu_7,Relu,25088,0,0
conv_8,Conv,20070400,0,0
conv_8,Conv,20070400,0,0
relu_8,Relu,50176,0,0
maxpool_3,Pooling,0,0,0
conv_9,Conv,9633792,0,0
conv_9,Conv,9633792,0,0
relu_9,Relu,50176,0,0
conv_10,Conv,51380224,0,0
conv_10,Conv,51380224,0,0
relu_10,Relu,200704,0,0
conv_11,Conv,51380224,0,0
conv_11,Conv,51380224,0,0
relu_11,Relu,200704,0,0
conv_12,Conv,346816512,0,0
conv_12,Conv,346816512,0,0
relu_12,Relu,301056,0,0
conv_13,Conv,12845056,0,0
conv_13,Conv,12845056,0,0
relu_13,Relu,50176,0,0
conv_14,Conv,120422400,0,0
conv_14,Conv,120422400,0,0
relu_14,Relu,150528,0,0
maxpool_4,Pooling,0,0,0
conv_15,Conv,25690112,0,0
conv_15,Conv,25690112,0,0
relu_15,Relu,100352,0,0
maxpool_5,Pooling,0,0,0
conv_16,Conv,36126720,0,0
conv_16,Conv,36126720,0,0
relu_16,Relu,75264,0,0
conv_17,Conv,18063360,0,0
conv_17,Conv,18063360,0,0
relu_17,Relu,37632,0,0
conv_18,Conv,70447104,0,0
conv_18,Conv,70447104,0,0
relu_18,Relu,81536,0,0
conv_19,Conv,3010560,0,0
conv_19,Conv,3010560,0,0
relu_19,Relu,6272,0,0
conv_20,Conv,7526400,0,0
conv_20,Conv,7526400,0,0
relu_20,Relu,18816,0,0
maxpool_6,Pooling,0,0,0
conv_21,Conv,12042240,0,0
conv_21,Conv,12042240,0,0
relu_21,Relu,25088,0,0
conv_22,Conv,32112640,0,0
conv_22,Conv,32112640,0,0
relu_22,Relu,62720,0,0
conv_23,Conv,22478848,0,0
conv_23,Conv,22478848,0,0
relu_23,Relu,43904,0,0
conv_24,Conv,88510464,0,0
conv_24,Conv,88510464,0,0
relu_24,Relu,87808,0,0
conv_25,Conv,4816896,0,0
conv_25,Conv,4816896,0,0
relu_25,Relu,9408,0,0
conv_26,Conv,15052800,0,0
conv_26,Conv,15052800,0,0
relu_26,Relu,25088,0,0
maxpool_7,Pooling,0,0,0
conv_27,Conv,12845056,0,0
conv_27,Conv,12845056,0,0
relu_27,Relu,25088,0,0
conv_28,Conv,25690112,0,0
conv_28,Conv,25690112,0,0
relu_28,Relu,50176,0,0
conv_29,Conv,25690112,0,0
conv_29,Conv,25690112,0,0
relu_29,Relu,50176,0,0
conv_30,Conv,115605504,0,0
conv_30,Conv,115605504,0,0
relu_30,Relu,100352,0,0
conv_31,Conv,4816896,0,0
conv_31,Conv,4816896,0,0
relu_31,Relu,9408,0,0
conv_32,Conv,15052800,0,0
conv_32,Conv,15052800,0,0
relu_32,Relu,25088,0,0
maxpool_8,Pooling,0,0,0
conv_33,Conv,12845056,0,0
conv_33,Conv,12845056,0,0
relu_33,Relu,25088,0,0
conv_34,Conv,22478848,0,0
conv_34,Conv,22478848,0,0
relu_34,Relu,43904,0,0
conv_35,Conv,28901376,0,0
conv_35,Conv,28901376,0,0
relu_35,Relu,56448,0,0
conv_36,Conv,146313216,0,0
conv_36,Conv,146313216,0,0
relu_36,Relu,112896,0,0
conv_37,Conv,6422528,0,0
conv_37,Conv,6422528,0,0
relu_37,Relu,12544,0,0
conv_38,Conv,20070400,0,0
conv_38,Conv,20070400,0,0
relu_38,Relu,25088,0,0
maxpool_9,Pooling,0,0,0
conv_39,Conv,12845056,0,0
conv_39,Conv,12845056,0,0
relu_39,Relu,25088,0,0
conv_40,Conv,52985856,0,0
conv_40,Conv,52985856,0,0
relu_40,Relu,100352,0,0
conv_41,Conv,33116160,0,0
conv_41,Conv,33116160,0,0
relu_41,Relu,62720,0,0
conv_42,Conv,180633600,0,0
conv_42,Conv,180633600,0,0
relu_42,Relu,125440,0,0
conv_43,Conv,6623232,0,0
conv_43,Conv,6623232,0,0
relu_43,Relu,12544,0,0
conv_44,Conv,40140800,0,0
conv_44,Conv,40140800,0,0
relu_44,Relu,50176,0,0
maxpool_10,Pooling,0,0,0
conv_45,Conv,26492928,0,0
conv_45,Conv,26492928,0,0
relu_45,Relu,50176,0,0
maxpool_11,Pooling,0,0,0
conv_46,Conv,20873216,0,0
conv_46,Conv,20873216,0,0
relu_46,Relu,25088,0,0
conv_47,Conv,13045760,0,0
conv_47,Conv,13045760,0,0
relu_47,Relu,15680,0,0
conv_48,Conv,45158400,0,0
conv_48,Conv,45158400,0,0
relu_48,Relu,31360,0,0
conv_49,Conv,2609152,0,0
conv_49,Conv,2609152,0,0
relu_49,Relu,3136,0,0
conv_50,Conv,10035200,0,0
conv_50,Conv,10035200,0,0
relu_50,Relu,12544,0,0
maxpool_12,Pooling,0,0,0
conv_51,Conv,10436608,0,0
conv_51,Conv,10436608,0,0
relu_51,Relu,12544,0,0
conv_52,Conv,31309824,0,0
conv_52,Conv,31309824,0,0
relu_52,Relu,37632,0,0
conv_53,Conv,15654912,0,0
conv_53,Conv,15654912,0,0
relu_53,Relu,18816,0,0
conv_54,Conv,65028096,0,0
conv_54,Conv,65028096,0,0
relu_54,Relu,37632,0,0
conv_55,Conv,3913728,0,0
conv_55,Conv,3913728,0,0
relu_55,Relu,4704,0,0
conv_56,Conv,15052800,0,0
conv_56,Conv,15052800,0,0
relu_56,Relu,12544,0,0
maxpool_13,Pooling,0,0,0
conv_57,Conv,10436608,0,0
conv_57,Conv,10436608,0,0
relu_57,Relu,12544,0,0
averagepool_1,Pooling,50176,0,0
dropout_1,Dropout,0,0,0
dropout_1,Dropout,0,0,0
gemm_1,Gemm,2049000,0,0
