LayerName,LayerType,Theoretical Flops,dram_read_bytes,dram_write_bytes
conv1_1_3x3_s2,Conv,552960000,0,0
conv1_1_3x3_s2/bn,BatchNorm,20480000,0,0
conv1_1_3x3_s2/relu,Relu,20480000,0,0
conv1_2_3x3,Conv,11796480000,0,0
conv1_2_3x3/bn,BatchNorm,20480000,0,0
conv1_2_3x3/relu,Relu,20480000,0,0
conv1_3_3x3,Conv,23592960000,0,0
conv1_3_3x3/bn,BatchNorm,40960000,0,0
conv1_3_3x3/relu,Relu,40960000,0,0
pool1_3x3_s2,Pooling,0,0,0
conv2_1_1x1_reduce,Conv,648822784,0,0
conv2_1_1x1_reduce/bn,BatchNorm,5068928,0,0
conv2_1_1x1_reduce/relu,Relu,5068928,0,0
conv2_1_3x3,Conv,2919702528,0,0
conv2_1_3x3/bn,BatchNorm,5068928,0,0
conv2_1_3x3/relu,Relu,5068928,0,0
conv2_1_1x1_increase,Conv,1297645568,0,0
conv2_1_1x1_increase/bn,BatchNorm,20275712,0,0
conv2_1_1x1_proj,Conv,2595291136,0,0
conv2_1_1x1_proj/bn,BatchNorm,20275712,0,0
conv2_1,ElementWise,10137856,0,0
conv2_1_relu,Relu,20275712,0,0
conv2_2_1x1_reduce,Conv,1297645568,0,0
conv2_2_1x1_reduce/bn,BatchNorm,5068928,0,0
conv2_2_1x1_reduce/relu,Relu,5068928,0,0
conv2_2_3x3,Conv,2919702528,0,0
conv2_2_3x3/bn,BatchNorm,5068928,0,0
conv2_2_3x3/relu,Relu,5068928,0,0
conv2_2_1x1_increase,Conv,1297645568,0,0
conv2_2_1x1_increase/bn,BatchNorm,20275712,0,0
conv2_2,ElementWise,10137856,0,0
conv2_2_relu,Relu,20275712,0,0
conv2_3_1x1_reduce,Conv,1297645568,0,0
conv2_3_1x1_reduce/bn,BatchNorm,5068928,0,0
conv2_3_1x1_reduce/relu,Relu,5068928,0,0
conv2_3_3x3,Conv,2919702528,0,0
conv2_3_3x3/bn,BatchNorm,5068928,0,0
conv2_3_3x3/relu,Relu,5068928,0,0
conv2_3_1x1_increase,Conv,1297645568,0,0
conv2_3_1x1_increase/bn,BatchNorm,20275712,0,0
conv2_3,ElementWise,10137856,0,0
conv2_3_relu,Relu,20275712,0,0
conv3_1_1x1_reduce,Conv,655360000,0,0
conv3_1_1x1_reduce/bn,BatchNorm,2560000,0,0
conv3_1_1x1_reduce/relu,Relu,2560000,0,0
conv3_1_3x3,Conv,2949120000,0,0
conv3_1_3x3/bn,BatchNorm,2560000,0,0
conv3_1_3x3/relu,Relu,2560000,0,0
conv3_1_1x1_increase,Conv,1310720000,0,0
conv3_1_1x1_increase/bn,BatchNorm,10240000,0,0
conv3_1_1x1_proj,Conv,2621440000,0,0
conv3_1_1x1_proj/bn,BatchNorm,10240000,0,0
conv3_1,ElementWise,5120000,0,0
conv3_1_relu,Relu,10240000,0,0
conv3_2_1x1_reduce,Conv,1310720000,0,0
conv3_2_1x1_reduce/bn,BatchNorm,2560000,0,0
conv3_2_1x1_reduce/relu,Relu,2560000,0,0
conv3_2_3x3,Conv,2949120000,0,0
conv3_2_3x3/bn,BatchNorm,2560000,0,0
conv3_2_3x3/relu,Relu,2560000,0,0
conv3_2_1x1_increase,Conv,1310720000,0,0
conv3_2_1x1_increase/bn,BatchNorm,10240000,0,0
conv3_2,ElementWise,5120000,0,0
conv3_2_relu,Relu,10240000,0,0
conv3_3_1x1_reduce,Conv,1310720000,0,0
conv3_3_1x1_reduce/bn,BatchNorm,2560000,0,0
conv3_3_1x1_reduce/relu,Relu,2560000,0,0
conv3_3_3x3,Conv,2949120000,0,0
conv3_3_3x3/bn,BatchNorm,2560000,0,0
conv3_3_3x3/relu,Relu,2560000,0,0
conv3_3_1x1_increase,Conv,1310720000,0,0
conv3_3_1x1_increase/bn,BatchNorm,10240000,0,0
conv3_3,ElementWise,5120000,0,0
conv3_3_relu,Relu,10240000,0,0
conv3_4_1x1_reduce,Conv,1310720000,0,0
conv3_4_1x1_reduce/bn,BatchNorm,2560000,0,0
conv3_4_1x1_reduce/relu,Relu,2560000,0,0
conv3_4_3x3,Conv,2949120000,0,0
conv3_4_3x3/bn,BatchNorm,2560000,0,0
conv3_4_3x3/relu,Relu,2560000,0,0
conv3_4_1x1_increase,Conv,1310720000,0,0
conv3_4_1x1_increase/bn,BatchNorm,10240000,0,0
conv3_4,ElementWise,5120000,0,0
conv3_4_relu,Relu,10240000,0,0
conv4_1_1x1_reduce,Conv,2621440000,0,0
conv4_1_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_1_1x1_reduce/relu,Relu,5120000,0,0
conv4_1_3x3,Conv,32768000000,0,0
conv4_1_3x3/bn,BatchNorm,5120000,0,0
conv4_1_3x3/relu,Relu,5120000,0,0
conv4_1_1x1_increase,Conv,5242880000,0,0
conv4_1_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_1_1x1_proj,Conv,10485760000,0,0
conv4_1_1x1_proj/bn,BatchNorm,20480000,0,0
conv4_1,ElementWise,10240000,0,0
conv4_1_relu,Relu,20480000,0,0
conv4_2_1x1_reduce,Conv,5242880000,0,0
conv4_2_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_2_1x1_reduce/relu,Relu,5120000,0,0
conv4_2_3x3,Conv,32768000000,0,0
conv4_2_3x3/bn,BatchNorm,5120000,0,0
conv4_2_3x3/relu,Relu,5120000,0,0
conv4_2_1x1_increase,Conv,5242880000,0,0
conv4_2_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_2,ElementWise,10240000,0,0
conv4_2_relu,Relu,20480000,0,0
conv4_3_1x1_reduce,Conv,5242880000,0,0
conv4_3_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_3_1x1_reduce/relu,Relu,5120000,0,0
conv4_3_3x3,Conv,158597120000,0,0
conv4_3_3x3/bn,BatchNorm,5120000,0,0
conv4_3_3x3/relu,Relu,5120000,0,0
conv4_3_1x1_increase,Conv,5242880000,0,0
conv4_3_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_3,ElementWise,10240000,0,0
conv4_3_relu,Relu,20480000,0,0
conv4_4_1x1_reduce,Conv,5242880000,0,0
conv4_4_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_4_1x1_reduce/relu,Relu,5120000,0,0
conv4_4_3x3,Conv,473169920000,0,0
conv4_4_3x3/bn,BatchNorm,5120000,0,0
conv4_4_3x3/relu,Relu,5120000,0,0
conv4_4_1x1_increase,Conv,5242880000,0,0
conv4_4_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_4,ElementWise,10240000,0,0
conv4_4_relu,Relu,20480000,0,0
conv4_5_1x1_reduce,Conv,5242880000,0,0
conv4_5_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_5_1x1_reduce/relu,Relu,5120000,0,0
conv4_5_3x3,Conv,11796480000,0,0
conv4_5_3x3/bn,BatchNorm,5120000,0,0
conv4_5_3x3/relu,Relu,5120000,0,0
conv4_5_1x1_increase,Conv,5242880000,0,0
conv4_5_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_5,ElementWise,10240000,0,0
conv4_5_relu,Relu,20480000,0,0
conv4_6_1x1_reduce,Conv,5242880000,0,0
conv4_6_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_6_1x1_reduce/relu,Relu,5120000,0,0
conv4_6_3x3,Conv,32768000000,0,0
conv4_6_3x3/bn,BatchNorm,5120000,0,0
conv4_6_3x3/relu,Relu,5120000,0,0
conv4_6_1x1_increase,Conv,5242880000,0,0
conv4_6_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_6,ElementWise,10240000,0,0
conv4_6_relu,Relu,20480000,0,0
conv4_7_1x1_reduce,Conv,5242880000,0,0
conv4_7_1x1_reduce/bn,BatchNorm,5120000,0,0
conv4_7_1x1_reduce/relu,Relu,5120000,0,0
conv4_7_3x3,Conv,158597120000,0,0
conv4_7_3x3/bn,BatchNorm,5120000,0,0
conv4_7_3x3/relu,Relu,5120000,0,0
conv4_7_1x1_increase,Conv,5242880000,0,0
conv4_7_1x1_increase/bn,BatchNorm,20480000,0,0
conv4_7,ElementWise,10240000,0,0
conv4_7_relu,Relu,20480000,0,0
conv4_8_1x1_reduce,Conv,5242880000,0,0
conv4_8_1x1_reduce/bn,BatchNorm,5120000,0,0
