LayerName,LayerType,Theoretical Flops,dram_read_bytes,dram_write_bytes
conv_1,Conv,16257024,0,0
conv_1,Conv,16257024,0,0
batchnormalization_1,BatchNorm,602112,0,0
relu_1,Relu,602112,0,0
maxpool_1,Pooling,0,0,0
batchnormalization_2,BatchNorm,702464,0,0
relu_2,Relu,702464,0,0
batchnormalization_3,BatchNorm,175616,0,0
batchnormalization_4,BatchNorm,175616,0,0
averagepool_1,Pooling,169344,0,0
relu_3,Relu,213248,0,0
batchnormalization_5,BatchNorm,213248,0,0
relu_4,Relu,213248,0,0
batchnormalization_6,BatchNorm,213248,0,0
batchnormalization_7,BatchNorm,213248,0,0
sum_1,ElementWise,106624,0,0
relu_5,Relu,213248,0,0
batchnormalization_8,BatchNorm,213248,0,0
relu_6,Relu,213248,0,0
batchnormalization_9,BatchNorm,213248,0,0
batchnormalization_10,BatchNorm,213248,0,0
sum_2,ElementWise,106624,0,0
relu_7,Relu,213248,0,0
batchnormalization_11,BatchNorm,213248,0,0
relu_8,Relu,213248,0,0
batchnormalization_12,BatchNorm,213248,0,0
batchnormalization_13,BatchNorm,213248,0,0
sum_3,ElementWise,106624,0,0
relu_9,Relu,213248,0,0
batchnormalization_14,BatchNorm,213248,0,0
relu_10,Relu,213248,0,0
batchnormalization_15,BatchNorm,53312,0,0
batchnormalization_16,BatchNorm,53312,0,0
averagepool_2,Pooling,239904,0,0
relu_11,Relu,106624,0,0
batchnormalization_17,BatchNorm,106624,0,0
relu_12,Relu,106624,0,0
batchnormalization_18,BatchNorm,106624,0,0
batchnormalization_19,BatchNorm,106624,0,0
sum_4,ElementWise,53312,0,0
relu_13,Relu,106624,0,0
batchnormalization_20,BatchNorm,106624,0,0
relu_14,Relu,106624,0,0
batchnormalization_21,BatchNorm,106624,0,0
batchnormalization_22,BatchNorm,106624,0,0
sum_5,ElementWise,53312,0,0
relu_15,Relu,106624,0,0
batchnormalization_23,BatchNorm,106624,0,0
relu_16,Relu,106624,0,0
batchnormalization_24,BatchNorm,106624,0,0
batchnormalization_25,BatchNorm,106624,0,0
sum_6,ElementWise,53312,0,0
relu_17,Relu,106624,0,0
batchnormalization_26,BatchNorm,106624,0,0
relu_18,Relu,106624,0,0
batchnormalization_27,BatchNorm,106624,0,0
batchnormalization_28,BatchNorm,106624,0,0
sum_7,ElementWise,53312,0,0
relu_19,Relu,106624,0,0
batchnormalization_29,BatchNorm,106624,0,0
relu_20,Relu,106624,0,0
batchnormalization_30,BatchNorm,106624,0,0
batchnormalization_31,BatchNorm,106624,0,0
sum_8,ElementWise,53312,0,0
relu_21,Relu,106624,0,0
batchnormalization_32,BatchNorm,106624,0,0
relu_22,Relu,106624,0,0
batchnormalization_33,BatchNorm,106624,0,0
batchnormalization_34,BatchNorm,106624,0,0
sum_9,ElementWise,53312,0,0
relu_23,Relu,106624,0,0
batchnormalization_35,BatchNorm,106624,0,0
relu_24,Relu,106624,0,0
batchnormalization_36,BatchNorm,106624,0,0
batchnormalization_37,BatchNorm,106624,0,0
sum_10,ElementWise,53312,0,0
relu_25,Relu,106624,0,0
batchnormalization_38,BatchNorm,106624,0,0
relu_26,Relu,106624,0,0
batchnormalization_39,BatchNorm,26656,0,0
batchnormalization_40,BatchNorm,26656,0,0
averagepool_3,Pooling,119952,0,0
relu_27,Relu,53312,0,0
batchnormalization_41,BatchNorm,53312,0,0
relu_28,Relu,53312,0,0
batchnormalization_42,BatchNorm,53312,0,0
batchnormalization_43,BatchNorm,53312,0,0
sum_11,ElementWise,26656,0,0
relu_29,Relu,53312,0,0
batchnormalization_44,BatchNorm,53312,0,0
relu_30,Relu,53312,0,0
batchnormalization_45,BatchNorm,53312,0,0
batchnormalization_46,BatchNorm,53312,0,0
sum_12,ElementWise,26656,0,0
relu_31,Relu,53312,0,0
batchnormalization_47,BatchNorm,53312,0,0
relu_32,Relu,53312,0,0
batchnormalization_48,BatchNorm,53312,0,0
batchnormalization_49,BatchNorm,53312,0,0
sum_13,ElementWise,26656,0,0
relu_33,Relu,53312,0,0
averagepool_4,Pooling,26656,0,0
gemm_1,Gemm,1089000,0,0
softmax_1,Softmax,3000,0,0
