LayerName,LayerType,Theoretical Flops,dram_read_bytes,dram_write_bytes
resnetv23_batchnorm0_fwd,BatchNorm,301056,0,0
resnetv23_conv0_fwd,Conv,236027904,0,0
resnetv23_batchnorm1_fwd,BatchNorm,1605632,0,0
resnetv23_relu0_fwd,Relu,1605632,0,0
resnetv23_pool0_fwd,Pooling,0,0,0
resnetv23_stage1_batchnorm0_fwd,BatchNorm,401408,0,0
resnetv23_stage1_activation0,Relu,401408,0,0
resnetv23_stage1_conv0_fwd,Conv,231211008,0,0
resnetv23_stage1_batchnorm1_fwd,BatchNorm,401408,0,0
resnetv23_stage1_activation1,Relu,401408,0,0
resnetv23_stage1_conv1_fwd,Conv,231211008,0,0
resnetv23_stage1__plus0,ElementWise,200704,0,0
resnetv23_stage1_batchnorm2_fwd,BatchNorm,401408,0,0
resnetv23_stage1_activation2,Relu,401408,0,0
resnetv23_stage1_conv2_fwd,Conv,231211008,0,0
resnetv23_stage1_batchnorm3_fwd,BatchNorm,401408,0,0
resnetv23_stage1_activation3,Relu,401408,0,0
resnetv23_stage1_conv3_fwd,Conv,231211008,0,0
resnetv23_stage1__plus1,ElementWise,200704,0,0
resnetv23_stage1_batchnorm4_fwd,BatchNorm,401408,0,0
resnetv23_stage1_activation4,Relu,401408,0,0
resnetv23_stage1_conv4_fwd,Conv,231211008,0,0
resnetv23_stage1_batchnorm5_fwd,BatchNorm,401408,0,0
resnetv23_stage1_activation5,Relu,401408,0,0
resnetv23_stage1_conv5_fwd,Conv,231211008,0,0
resnetv23_stage1__plus2,ElementWise,200704,0,0
resnetv23_stage2_batchnorm0_fwd,BatchNorm,401408,0,0
resnetv23_stage2_activation0,Relu,401408,0,0
resnetv23_stage2_conv0_fwd,Conv,115605504,0,0
resnetv23_stage2_batchnorm1_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation1,Relu,200704,0,0
resnetv23_stage2_conv1_fwd,Conv,231211008,0,0
resnetv23_stage2_conv2_fwd,Conv,12845056,0,0
resnetv23_stage2__plus0,ElementWise,100352,0,0
resnetv23_stage2_batchnorm2_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation2,Relu,200704,0,0
resnetv23_stage2_conv3_fwd,Conv,231211008,0,0
resnetv23_stage2_batchnorm3_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation3,Relu,200704,0,0
resnetv23_stage2_conv4_fwd,Conv,231211008,0,0
resnetv23_stage2__plus1,ElementWise,100352,0,0
resnetv23_stage2_batchnorm4_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation4,Relu,200704,0,0
resnetv23_stage2_conv5_fwd,Conv,231211008,0,0
resnetv23_stage2_batchnorm5_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation5,Relu,200704,0,0
resnetv23_stage2_conv6_fwd,Conv,231211008,0,0
resnetv23_stage2__plus2,ElementWise,100352,0,0
resnetv23_stage2_batchnorm6_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation6,Relu,200704,0,0
resnetv23_stage2_conv7_fwd,Conv,231211008,0,0
resnetv23_stage2_batchnorm7_fwd,BatchNorm,200704,0,0
resnetv23_stage2_activation7,Relu,200704,0,0
resnetv23_stage2_conv8_fwd,Conv,231211008,0,0
resnetv23_stage2__plus3,ElementWise,100352,0,0
resnetv23_stage3_batchnorm0_fwd,BatchNorm,200704,0,0
resnetv23_stage3_activation0,Relu,200704,0,0
resnetv23_stage3_conv0_fwd,Conv,115605504,0,0
resnetv23_stage3_batchnorm1_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation1,Relu,100352,0,0
resnetv23_stage3_conv1_fwd,Conv,231211008,0,0
resnetv23_stage3_conv2_fwd,Conv,12845056,0,0
resnetv23_stage3__plus0,ElementWise,50176,0,0
resnetv23_stage3_batchnorm2_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation2,Relu,100352,0,0
resnetv23_stage3_conv3_fwd,Conv,231211008,0,0
resnetv23_stage3_batchnorm3_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation3,Relu,100352,0,0
resnetv23_stage3_conv4_fwd,Conv,231211008,0,0
resnetv23_stage3__plus1,ElementWise,50176,0,0
resnetv23_stage3_batchnorm4_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation4,Relu,100352,0,0
resnetv23_stage3_conv5_fwd,Conv,231211008,0,0
resnetv23_stage3_batchnorm5_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation5,Relu,100352,0,0
resnetv23_stage3_conv6_fwd,Conv,231211008,0,0
resnetv23_stage3__plus2,ElementWise,50176,0,0
resnetv23_stage3_batchnorm6_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation6,Relu,100352,0,0
resnetv23_stage3_conv7_fwd,Conv,231211008,0,0
resnetv23_stage3_batchnorm7_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation7,Relu,100352,0,0
resnetv23_stage3_conv8_fwd,Conv,231211008,0,0
resnetv23_stage3__plus3,ElementWise,50176,0,0
resnetv23_stage3_batchnorm8_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation8,Relu,100352,0,0
resnetv23_stage3_conv9_fwd,Conv,231211008,0,0
resnetv23_stage3_batchnorm9_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation9,Relu,100352,0,0
resnetv23_stage3_conv10_fwd,Conv,231211008,0,0
resnetv23_stage3__plus4,ElementWise,50176,0,0
resnetv23_stage3_batchnorm10_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation10,Relu,100352,0,0
resnetv23_stage3_conv11_fwd,Conv,231211008,0,0
resnetv23_stage3_batchnorm11_fwd,BatchNorm,100352,0,0
resnetv23_stage3_activation11,Relu,100352,0,0
resnetv23_stage3_conv12_fwd,Conv,231211008,0,0
resnetv23_stage3__plus5,ElementWise,50176,0,0
resnetv23_stage4_batchnorm0_fwd,BatchNorm,100352,0,0
resnetv23_stage4_activation0,Relu,100352,0,0
resnetv23_stage4_conv0_fwd,Conv,115605504,0,0
resnetv23_stage4_batchnorm1_fwd,BatchNorm,50176,0,0
resnetv23_stage4_activation1,Relu,50176,0,0
resnetv23_stage4_conv1_fwd,Conv,231211008,0,0
resnetv23_stage4_conv2_fwd,Conv,12845056,0,0
resnetv23_stage4__plus0,ElementWise,25088,0,0
resnetv23_stage4_batchnorm2_fwd,BatchNorm,50176,0,0
resnetv23_stage4_activation2,Relu,50176,0,0
resnetv23_stage4_conv3_fwd,Conv,231211008,0,0
resnetv23_stage4_batchnorm3_fwd,BatchNorm,50176,0,0
resnetv23_stage4_activation3,Relu,50176,0,0
resnetv23_stage4_conv4_fwd,Conv,231211008,0,0
resnetv23_stage4__plus1,ElementWise,25088,0,0
resnetv23_stage4_batchnorm4_fwd,BatchNorm,50176,0,0
resnetv23_stage4_activation4,Relu,50176,0,0
resnetv23_stage4_conv5_fwd,Conv,231211008,0,0
resnetv23_stage4_batchnorm5_fwd,BatchNorm,50176,0,0
resnetv23_stage4_activation5,Relu,50176,0,0
resnetv23_stage4_conv6_fwd,Conv,231211008,0,0
resnetv23_stage4__plus2,ElementWise,25088,0,0
resnetv23_batchnorm2_fwd,BatchNorm,50176,0,0
resnetv23_relu1_fwd,Relu,50176,0,0
resnetv23_dense0_fwd,Gemm,1025000,0,0
