LayerName,LayerType,Theoretical Flops,dram_read_bytes,dram_write_bytes
conv_1,Conv,236027904,0,0
batchnormalization_1,BatchNorm,1605632,0,0
mul_1,ElementWise,1605632,0,0
add_1,ElementWise,802816,0,0
relu_1,Relu,1605632,0,0
maxpool_1,Pooling,0,0,0
conv_2,Conv,25690112,0,0
batchnormalization_2,BatchNorm,401408,0,0
mul_2,ElementWise,401408,0,0
add_2,ElementWise,200704,0,0
relu_2,Relu,401408,0,0
conv_3,Conv,693633024,0,0
batchnormalization_3,BatchNorm,1204224,0,0
mul_3,ElementWise,1204224,0,0
add_3,ElementWise,602112,0,0
relu_3,Relu,1204224,0,0
maxpool_2,Pooling,0,0,0
conv_4,Conv,19267584,0,0
batchnormalization_4,BatchNorm,100352,0,0
mul_4,ElementWise,100352,0,0
add_4,ElementWise,50176,0,0
relu_4,Relu,100352,0,0
conv_5,Conv,19267584,0,0
batchnormalization_5,BatchNorm,100352,0,0
mul_5,ElementWise,100352,0,0
add_5,ElementWise,50176,0,0
relu_5,Relu,100352,0,0
conv_6,Conv,57802752,0,0
batchnormalization_6,BatchNorm,100352,0,0
mul_6,ElementWise,100352,0,0
add_6,ElementWise,50176,0,0
relu_6,Relu,100352,0,0
conv_7,Conv,19267584,0,0
batchnormalization_7,BatchNorm,100352,0,0
mul_7,ElementWise,100352,0,0
add_7,ElementWise,50176,0,0
relu_7,Relu,100352,0,0
conv_8,Conv,86704128,0,0
batchnormalization_8,BatchNorm,150528,0,0
mul_8,ElementWise,150528,0,0
add_8,ElementWise,75264,0,0
relu_8,Relu,150528,0,0
conv_9,Conv,130056192,0,0
batchnormalization_9,BatchNorm,150528,0,0
mul_9,ElementWise,150528,0,0
add_9,ElementWise,75264,0,0
relu_9,Relu,150528,0,0
averagepool_1,Pooling,1354752,0,0
conv_10,Conv,9633792,0,0
batchnormalization_10,BatchNorm,50176,0,0
mul_10,ElementWise,50176,0,0
add_10,ElementWise,25088,0,0
relu_10,Relu,50176,0,0
conv_11,Conv,25690112,0,0
batchnormalization_11,BatchNorm,100352,0,0
mul_11,ElementWise,100352,0,0
add_11,ElementWise,50176,0,0
relu_11,Relu,100352,0,0
conv_12,Conv,25690112,0,0
batchnormalization_12,BatchNorm,100352,0,0
mul_12,ElementWise,100352,0,0
add_12,ElementWise,50176,0,0
relu_12,Relu,100352,0,0
conv_13,Conv,86704128,0,0
batchnormalization_13,BatchNorm,150528,0,0
mul_13,ElementWise,150528,0,0
add_13,ElementWise,75264,0,0
relu_13,Relu,150528,0,0
conv_14,Conv,25690112,0,0
batchnormalization_14,BatchNorm,100352,0,0
mul_14,ElementWise,100352,0,0
