LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,118013952,245661696
conv_1,Conv,118013952,3211264
relu_1,Relu,1605632,1605632
maxpool_1,Pooling,1806336,200640
conv_2,Conv,12845056,25890816
conv_2,Conv,12845056,802816
relu_2,Relu,401408,401408
conv_3,Conv,346816512,694235136
conv_3,Conv,346816512,2408448
relu_3,Relu,1204224,1204224
maxpool_2,Pooling,1354752,150336
conv_4,Conv,9633792,19710976
conv_4,Conv,9633792,200704
relu_4,Relu,100352,100352
conv_5,Conv,14450688,29566464
conv_5,Conv,14450688,301056
relu_5,Relu,150528,150528
conv_6,Conv,86704128,177047552
conv_6,Conv,86704128,401408
relu_6,Relu,200704,200704
conv_7,Conv,2408448,9842944
conv_7,Conv,2408448,50176
relu_7,Relu,25088,25088
conv_8,Conv,10035200,20505088
conv_8,Conv,10035200,100352
relu_8,Relu,50176,50176
maxpool_3,Pooling,1354752,4000512
conv_9,Conv,4816896,9855488
conv_9,Conv,4816896,100352
relu_9,Relu,50176,50176
conv_10,Conv,25690112,52529152
conv_10,Conv,25690112,401408
relu_10,Relu,200704,200704
conv_11,Conv,25690112,52529152
conv_11,Conv,25690112,401408
relu_11,Relu,200704,200704
conv_12,Conv,173408256,354044928
conv_12,Conv,173408256,602112
relu_12,Relu,301056,301056
conv_13,Conv,6422528,29474816
conv_13,Conv,6422528,100352
relu_13,Relu,50176,50176
conv_14,Conv,60211200,122955264
conv_14,Conv,60211200,301056
relu_14,Relu,150528,150528
maxpool_4,Pooling,1806336,5334016
conv_15,Conv,12845056,26264576
conv_15,Conv,12845056,200704
relu_15,Relu,100352,100352
maxpool_5,Pooling,846720,93600
conv_16,Conv,18063360,41325312
conv_16,Conv,18063360,150528
relu_16,Relu,75264,75264
conv_17,Conv,9031680,20662656
conv_17,Conv,9031680,75264
relu_17,Relu,37632,37632
conv_18,Conv,35223552,86744896
conv_18,Conv,35223552,163072
relu_18,Relu,81536,81536
conv_19,Conv,1505280,6884416
conv_19,Conv,1505280,12544
relu_19,Relu,6272,6272
conv_20,Conv,3763200,11478208
conv_20,Conv,3763200,37632
relu_20,Relu,18816,18816
maxpool_6,Pooling,846720,94080
conv_21,Conv,6021120,13775104
conv_21,Conv,6021120,50176
relu_21,Relu,25088,25088
conv_22,Conv,16056320,36731520
conv_22,Conv,16056320,125440
relu_22,Relu,62720,62720
conv_23,Conv,11239424,29382080
conv_23,Conv,11239424,87808
relu_23,Relu,43904,43904
conv_24,Conv,44255232,101198720
conv_24,Conv,44255232,175616
relu_24,Relu,87808,87808
conv_25,Conv,2408448,7344736
conv_25,Conv,2408448,18816
relu_25,Relu,9408,9408
conv_26,Conv,7526400,17215744
conv_26,Conv,7526400,50176
relu_26,Relu,25088,25088
maxpool_7,Pooling,903168,100352
conv_27,Conv,6422528,14692608
conv_27,Conv,6422528,50176
relu_27,Relu,25088,25088
conv_28,Conv,12845056,29385216
conv_28,Conv,12845056,100352
relu_28,Relu,50176,50176
conv_29,Conv,12845056,29385216
conv_29,Conv,12845056,100352
relu_29,Relu,50176,50176
conv_30,Conv,57802752,132170752
conv_30,Conv,57802752,200704
relu_30,Relu,100352,100352
conv_31,Conv,2408448,7344736
conv_31,Conv,2408448,18816
relu_31,Relu,9408,9408
conv_32,Conv,7526400,17215744
conv_32,Conv,7526400,50176
relu_32,Relu,25088,25088
maxpool_8,Pooling,903168,100352
conv_33,Conv,6422528,14692608
