LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,118013952,245661696
batchnormalization_1,BatchNorm,1605632,15253504
mul_1,ElementWise,802816,3211264
add_1,ElementWise,802816,3211264
relu_1,Relu,1605632,1605632
maxpool_1,Pooling,1806336,200704
batchnormalization_2,BatchNorm,401408,3813376
mul_2,ElementWise,200704,802816
add_2,ElementWise,200704,802816
relu_2,Relu,401408,401408
conv_2,Conv,25690112,51781632
batchnormalization_3,BatchNorm,802816,2473984
mul_3,ElementWise,401408,1605632
add_3,ElementWise,401408,1605632
relu_3,Relu,802816,802816
conv_3,Conv,115605504,231311360
batchnormalization_4,BatchNorm,602112,5720064
mul_4,ElementWise,301056,1204224
add_4,ElementWise,301056,1204224
relu_4,Relu,602112,602112
conv_4,Conv,38535168,77471744
batchnormalization_5,BatchNorm,802816,2473984
mul_5,ElementWise,401408,1605632
add_5,ElementWise,401408,1605632
relu_5,Relu,802816,802816
conv_5,Conv,115605504,231311360
batchnormalization_6,BatchNorm,802816,2473984
mul_6,ElementWise,401408,1605632
add_6,ElementWise,401408,1605632
relu_6,Relu,802816,802816
conv_6,Conv,51380224,103161856
batchnormalization_7,BatchNorm,802816,2473984
mul_7,ElementWise,401408,1605632
add_7,ElementWise,401408,1605632
relu_7,Relu,802816,802816
conv_7,Conv,115605504,231311360
batchnormalization_8,BatchNorm,1003520,9533440
mul_8,ElementWise,501760,2007040
add_8,ElementWise,501760,2007040
relu_8,Relu,1003520,1003520
conv_8,Conv,64225280,128851968
batchnormalization_9,BatchNorm,802816,2473984
mul_9,ElementWise,401408,1605632
add_9,ElementWise,401408,1605632
relu_9,Relu,802816,802816
conv_9,Conv,115605504,231311360
batchnormalization_10,BatchNorm,1204224,11440128
mul_10,ElementWise,602112,2408448
add_10,ElementWise,602112,2408448
relu_10,Relu,1204224,1204224
conv_10,Conv,77070336,154542080
batchnormalization_11,BatchNorm,802816,2473984
mul_11,ElementWise,401408,1605632
add_11,ElementWise,401408,1605632
relu_11,Relu,802816,802816
conv_11,Conv,115605504,231311360
batchnormalization_12,BatchNorm,1404928,13346816
mul_12,ElementWise,702464,2809856
add_12,ElementWise,702464,2809856
relu_12,Relu,1404928,1404928
conv_12,Conv,89915392,184320000
batchnormalization_13,BatchNorm,802816,2473984
mul_13,ElementWise,401408,1605632
add_13,ElementWise,401408,1605632
relu_13,Relu,802816,802816
conv_13,Conv,115605504,231311360
batchnormalization_14,BatchNorm,1605632,15253504
mul_14,ElementWise,802816,3211264
add_14,ElementWise,802816,3211264
relu_14,Relu,1605632,1605632
conv_14,Conv,102760448,205922304
averagepool_1,Pooling,401408,2107392
batchnormalization_15,BatchNorm,200704,1906688
mul_15,ElementWise,100352,401408
add_15,ElementWise,100352,401408
relu_15,Relu,200704,200704
conv_15,Conv,12845056,26314752
batchnormalization_16,BatchNorm,200704,1906688
mul_16,ElementWise,100352,401408
add_16,ElementWise,100352,401408
relu_16,Relu,200704,200704
conv_16,Conv,28901376,59007488
batchnormalization_17,BatchNorm,250880,2383360
mul_17,ElementWise,125440,501760
add_17,ElementWise,125440,501760
relu_17,Relu,250880,250880
conv_17,Conv,16056320,32868352
batchnormalization_18,BatchNorm,200704,1906688
mul_18,ElementWise,100352,401408
add_18,ElementWise,100352,401408
relu_18,Relu,200704,200704
conv_18,Conv,28901376,59007488
batchnormalization_19,BatchNorm,301056,2860032
mul_19,ElementWise,150528,602112
add_19,ElementWise,150528,602112
relu_19,Relu,301056,301056
conv_19,Conv,19267584,39421952
batchnormalization_20,BatchNorm,200704,1906688
mul_20,ElementWise,100352,401408
add_20,ElementWise,100352,401408
relu_20,Relu,200704,200704
conv_20,Conv,28901376,59007488
batchnormalization_21,BatchNorm,351232,3336704
mul_21,ElementWise,175616,702464
add_21,ElementWise,175616,702464
relu_21,Relu,351232,351232
conv_21,Conv,22478848,45975552
batchnormalization_22,BatchNorm,200704,1906688
mul_22,ElementWise,100352,401408
add_22,ElementWise,100352,401408
relu_22,Relu,200704,200704
conv_22,Conv,28901376,59007488
batchnormalization_23,BatchNorm,401408,1269760
mul_23,ElementWise,200704,802816
add_23,ElementWise,200704,802816
relu_23,Relu,401408,401408
conv_23,Conv,25690112,52529152
batchnormalization_24,BatchNorm,200704,1906688
mul_24,ElementWise,100352,401408
add_24,ElementWise,100352,401408
relu_24,Relu,200704,200704
conv_24,Conv,28901376,59007488
batchnormalization_25,BatchNorm,451584,4290048
mul_25,ElementWise,225792,903168
add_25,ElementWise,225792,903168
relu_25,Relu,451584,451584
conv_25,Conv,28901376,59082752
batchnormalization_26,BatchNorm,200704,1906688
mul_26,ElementWise,100352,401408
add_26,ElementWise,100352,401408
relu_26,Relu,200704,200704
conv_26,Conv,28901376,59007488
batchnormalization_27,BatchNorm,501760,4766720
mul_27,ElementWise,250880,1003520
add_27,ElementWise,250880,1003520
relu_27,Relu,501760,501760
conv_27,Conv,32112640,73629696
batchnormalization_28,BatchNorm,200704,1906688
mul_28,ElementWise,100352,401408
add_28,ElementWise,100352,401408
relu_28,Relu,200704,200704
conv_28,Conv,28901376,59007488
batchnormalization_29,BatchNorm,551936,5243392
mul_29,ElementWise,275968,1103872
add_29,ElementWise,275968,1103872
relu_29,Relu,551936,551936
conv_29,Conv,35323904,72189952
batchnormalization_30,BatchNorm,200704,1906688
mul_30,ElementWise,100352,401408
add_30,ElementWise,100352,401408
relu_30,Relu,200704,200704
conv_30,Conv,28901376,59007488
batchnormalization_31,BatchNorm,602112,5720064
mul_31,ElementWise,301056,1204224
add_31,ElementWise,301056,1204224
relu_31,Relu,602112,602112
conv_31,Conv,38535168,88309760
batchnormalization_32,BatchNorm,200704,1906688
mul_32,ElementWise,100352,401408
add_32,ElementWise,100352,401408
relu_32,Relu,200704,200704
conv_32,Conv,28901376,59007488
batchnormalization_33,BatchNorm,652288,6196736
mul_33,ElementWise,326144,1304576
add_33,ElementWise,326144,1304576
relu_33,Relu,652288,652288
conv_33,Conv,41746432,85297152
batchnormalization_34,BatchNorm,200704,1906688
mul_34,ElementWise,100352,401408
add_34,ElementWise,100352,401408
relu_34,Relu,200704,200704
conv_34,Conv,28901376,59007488
batchnormalization_35,BatchNorm,702464,6673408
mul_35,ElementWise,351232,1404928
add_35,ElementWise,351232,1404928
relu_35,Relu,702464,702464
conv_35,Conv,44957696,91850752
batchnormalization_36,BatchNorm,200704,1906688
mul_36,ElementWise,100352,401408
add_36,ElementWise,100352,401408
relu_36,Relu,200704,200704
conv_36,Conv,28901376,59007488
batchnormalization_37,BatchNorm,752640,7150080
mul_37,ElementWise,376320,1505280
add_37,ElementWise,376320,1505280
relu_37,Relu,752640,752640
conv_37,Conv,48168960,98404352
batchnormalization_38,BatchNorm,200704,1906688
mul_38,ElementWise,100352,401408
add_38,ElementWise,100352,401408
relu_38,Relu,200704,200704
conv_38,Conv,28901376,59007488
batchnormalization_39,BatchNorm,802816,7626752
mul_39,ElementWise,401408,1605632
add_39,ElementWise,401408,1605632
relu_39,Relu,802816,802816
conv_39,Conv,102760448,209915904
averagepool_2,Pooling,200704,1053696
batchnormalization_40,BatchNorm,100352,953344
mul_40,ElementWise,50176,200704
add_40,ElementWise,50176,200704
relu_40,Relu,100352,100352
conv_40,Conv,6422528,14705152
batchnormalization_41,BatchNorm,50176,476672
mul_41,ElementWise,25088,100352
add_41,ElementWise,25088,100352
relu_41,Relu,50176,50176
conv_41,Conv,7225344,16521344
batchnormalization_42,BatchNorm,112896,1072512
mul_42,ElementWise,56448,225792
add_42,ElementWise,56448,225792
relu_42,Relu,112896,112896
conv_42,Conv,7225344,16540160
batchnormalization_43,BatchNorm,50176,476672
mul_43,ElementWise,25088,100352
add_43,ElementWise,25088,100352
relu_43,Relu,50176,50176
conv_43,Conv,7225344,16521344
batchnormalization_44,BatchNorm,125440,1191680
mul_44,ElementWise,62720,250880
add_44,ElementWise,62720,250880
relu_44,Relu,125440,125440
conv_44,Conv,8028160,18375168
batchnormalization_45,BatchNorm,50176,476672
mul_45,ElementWise,25088,100352
add_45,ElementWise,25088,100352
